N,replica,protocol,leg,k,g,lam,phi,chi,tau_int,acceptance,swap_rate,round_trips,snapshots,snap_no_fluct,snap_no_xi,diam_mean,xi_over_diam,xi_over_diam_err,xi_pooled_over_diam
196,0,sequential,cool,14,5.688,1.0,0.5179239795918367,0.17544606321428569,4.460051064430091,0.12248571428571424,,,100,0,0,8.35,0.6394947485551064,0.28928986881829044,0.19184974782502298
196,0,sequential,cool,15,5.393,1.0,0.5449617346938775,0.17108542729591839,5.444017601314668,0.10236173469387755,,,100,0,0,8.56,0.29857205254328656,0.04250885472786064,0.31495579659213335
196,0,sequential,cool,16,5.113,1.0,0.5687913265306123,0.16084548158163267,6.377012431545035,0.0861918367346939,,,100,0,0,8.66,0.2941566274843172,0.021591837065354284,0.32506158512941713
196,0,sequential,cool,17,4.848,1.0,0.5993178571428571,0.1621360423979592,7.67498733408001,0.06900816326530615,,,100,0,0,8.84,0.2556671078522551,0.014746204499310725,0.2513198524861551
196,0,sequential,cool,18,4.596,1.0,0.6253887755102041,0.15503057938775508,10.717814431491222,0.056279846938775545,,,100,0,0,8.96,0.246549317229973,0.01159700559682327,0.26869993283630905
196,0,sequential,cool,19,4.357,1.0,0.6520219387755102,0.17111941994897953,19.508684276116192,0.04518545918367347,,,100,0,0,9.03,0.6377625683714698,0.24583472474066573,0.2829362987068093
196,0,sequential,cool,20,4.131,1.0,0.6820239795918368,0.15629682198979591,21.43118263042964,0.03504872448979592,,,100,0,0,9.2,0.2356679008595103,0.014726660340173277,0.2213878369243241
196,0,sequential,cool,21,3.917,1.0,0.7107474489795919,0.1460824375,28.868267501453747,0.026804591836734684,,,100,0,0,9.39,0.28086061486157615,0.05106215878090388,0.214454391423074
196,0,sequential,cool,22,3.713,1.0,0.7376780612244899,0.1111866938265306,34.15218283145842,0.02082755102040816,,,100,0,0,9.48,0.2352273126285561,0.01789458437438388,0.19492096885323973
196,0,sequential,cool,23,3.52,1.0,0.7605500000000001,0.10504389367346938,35.00504853308526,0.016579081632653064,,,100,0,0,9.78,0.32235604269047324,0.045690364689275266,0.2571182104812723
196,0,sequential,cool,24,3.338,1.0,0.7909377551020408,0.12289915081632652,72.55641905191446,0.012383418367346936,,,100,0,0,10.1,0.28151248335693163,0.020185613353857705,0.25083727845478593
196,0,sequential,cool,25,3.164,1.0,0.8138744897959184,0.14677563081632652,88.50797524492508,0.00971377551020408,,,100,0,0,10.26,0.23511990156061807,0.010850177575596403,0.21221799799429114
196,0,sequential,cool,26,3.0,1.0,0.8379091836734693,0.12396126510204082,136.6461402109009,0.0076229591836734665,,,100,0,0,10.64,0.262742492689512,0.014420083954132362,0.2659047046227206
196,0,sequential,cool,27,2.844,1.0,0.8778673469387756,0.09786508163265308,104.48358447239856,0.0058676020408163256,,,100,0,0,11.27,0.24444358338003142,0.0231670508446467,0.2160276270141006
196,0,sequential,cool,28,2.697,1.0,0.8892668367346939,0.07755564443877551,172.26880758149298,0.004030867346938775,,,100,0,0,11.51,0.23204055833985496,0.013197180553399931,0.2592412116654262
196,0,sequential,cool,29,2.557,1.0,0.9140061224489795,0.07332712734693879,436.5447047438639,0.0035594387755102054,,,100,0,0,12.26,0.3375485576123738,0.1057151307035509,0.23133975846411955
196,0,sequential,cool,30,2.424,1.0,0.9371051020408163,0.09067759816326529,461.49420969666903,0.002205357142857142,,,100,0,0,13.01,0.19243233115987565,0.008561517257075733,0.1996810045833137
196,0,sequential,cool,31,2.298,1.0,0.9758117346938775,0.14924677137755102,792.3695909425534,0.0014632653061224493,,,100,0,0,14.83,0.26552953597147266,0.03687041230091928,0.19465394398184455
196,0,sequential,cool,32,2.179,1.0,0.9821107142857143,0.07179775668367346,449.0331019794927,0.0010267857142857136,,,100,0,0,15.04,0.22776587705741289,0.022215717107629193,0.1680314583618207
196,0,sequential,cool,33,2.066,1.0,0.9837923469387755,0.03647182198979592,513.0295520377333,0.0007974489795918368,,,100,0,0,15.57,0.18227989185310098,0.033886055437650414,0.13805546962615986
196,0,sequential,cool,34,1.958,1.0,0.9988316326530612,0.044247749999999995,491.95282028237267,0.0006017857142857142,,,100,0,0,17.24,0.23745033953899736,0.056589478053447814,0.1290929511180122
196,0,sequential,cool,35,1.857,1.0,1.0148474489795918,0.0222674387244898,331.06860041696063,0.00045561224489795905,,,100,0,0,17.16,0.15565578469930616,0.02181629939004492,0.11825910629934375
196,0,sequential,cool,36,1.76,1.0,1.003463775510204,0.013107116275510205,191.26646787575956,0.0004119897959183674,,,100,0,0,15.98,0.12322325367628145,0.007777576975195158,0.10826305883299155
196,0,sequential,cool,37,1.669,1.0,0.9999591836734694,0.007638448979591837,100.35673190087272,0.00042219387755102026,,,100,0,0,17.8,0.16165252057700039,0.015500548181236598,0.16340481490941647
196,0,sequential,cool,38,1.582,1.0,0.9982602040816326,0.020477137755102043,368.52626567230226,0.0004647959183673467,,,100,0,0,17.86,0.13388717729621047,0.009669298757223443,0.05227672997283788
196,0,sequential,cool,39,1.5,1.0,1.007369387755102,0.00849749306122449,90.14374793768158,0.00036658163265306106,,,100,0,0,16.4,0.10726084242601011,0.006575501154861147,0.08031500457990351
196,0,sequential,heat,0,1.5,1.0,1.0,0.0,nan,0.0,,,100,100,0,14.0,,,
196,0,sequential,heat,1,1.582,1.0,1.0,0.0,nan,0.0,,,100,100,0,14.0,,,
196,0,sequential,heat,2,1.669,1.0,1.0,0.0,nan,0.0,,,100,100,0,14.0,,,
196,0,sequential,heat,3,1.76,1.0,1.0,0.0,nan,0.0,,,100,100,0,14.0,,,
196,0,sequential,heat,4,1.857,1.0,1.0,0.0,nan,0.0,,,100,100,0,14.0,,,
196,0,sequential,heat,5,1.958,1.0,1.0,0.0,nan,0.0,,,100,100,0,14.0,,,
196,0,sequential,heat,6,2.066,1.0,1.0,0.0,nan,0.0,,,100,100,0,14.0,,,
196,0,sequential,heat,7,2.179,1.0,1.0,0.0,nan,0.0,,,100,100,0,14.0,,,
196,0,sequential,heat,8,2.298,1.0,1.0,0.0,nan,0.0,,,100,100,0,14.0,,,
196,0,sequential,heat,9,2.424,1.0,1.0,0.0,nan,0.0,,,100,100,0,14.0,,,
196,0,sequential,heat,10,2.557,1.0,1.0,0.0,nan,0.0,,,100,100,0,14.0,,,
196,0,sequential,heat,11,2.697,1.0,1.0,0.0,nan,0.0,,,100,100,0,14.0,,,
196,0,sequential,heat,12,2.844,1.0,1.0,0.0,nan,0.0,,,100,100,0,14.0,,,
