N,C,replica,sweep,phi,surplus,bath_T,bath_total,f,final,drift,acceptance,f_final,d0,d1,d2,d3,d4,d5,d6,pieces_d1,largest_d1,pieces_d2,largest_d2
64,16,0,12000,1.0,0.15625,1.625,26.0,1.0,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,12100,0.984375,0.125,1.25,20.0,1.0625,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,12200,0.984375,0.140625,0.9375,15.0,1.0625,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,12300,0.984375,0.125,1.25,20.0,1.0625,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,12400,0.984375,0.109375,1.5625,25.0,1.0625,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,12500,0.984375,0.109375,1.5625,25.0,1.0625,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,12600,0.984375,0.109375,1.5625,25.0,1.0625,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,12700,0.984375,0.109375,1.5625,25.0,1.0625,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,12800,0.984375,0.109375,1.5625,25.0,1.0625,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,12900,0.984375,0.109375,1.5625,25.0,1.0625,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,13000,0.984375,0.109375,1.5625,25.0,1.0625,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,13100,0.984375,0.109375,1.5625,25.0,1.0625,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,13200,0.984375,0.109375,1.5625,25.0,1.0625,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,13300,0.984375,0.109375,1.5625,25.0,1.0625,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,13400,0.984375,0.109375,1.5625,25.0,1.0625,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,13500,0.984375,0.109375,1.5625,25.0,1.0625,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,13600,0.984375,0.109375,1.5625,25.0,1.0625,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,13700,0.984375,0.109375,1.5625,25.0,1.0625,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,13800,0.984375,0.109375,1.5625,25.0,1.0625,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,13900,0.984375,0.109375,1.5625,25.0,1.0625,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,14000,0.984375,0.109375,1.5625,25.0,1.0625,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,14100,0.984375,0.109375,1.5625,25.0,1.0625,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
64,16,0,14200,0.984375,0.109375,1.5625,25.0,1.0625,0,0.0,0.0006580729166666666,1.125,0,0,56,8,0,0,0,0,0,1,56
