N,protocol,points,E,achieved,radius,leak,local_heat,replica,block,sweep,h,folded,flat,melted,d0,d1,d2,d3,d4,d5,d6,pieces_folded,largest_folded,pieces_damage,largest_damage,stores_total,stores_max,lost,drift,symmetries,final
64,patch,named,32.0,32.0,2,0.0,False,1,31,3100,31.0,2,56,6,0,2,56,6,0,0,0,1,2,2,6,1.0,1.0,0.0,0.0,,False
64,patch,named,32.0,32.0,2,0.0,False,1,32,3200,31.0,2,56,6,0,2,56,6,0,0,0,1,2,2,6,1.0,1.0,0.0,0.0,,False
64,patch,named,32.0,32.0,2,0.0,False,1,33,3300,31.0,2,56,6,0,2,56,6,0,0,0,1,2,2,6,1.0,1.0,0.0,0.0,,False
64,patch,named,32.0,32.0,2,0.0,False,1,34,3400,31.0,2,56,6,0,2,56,6,0,0,0,1,2,2,6,1.0,1.0,0.0,0.0,,False
64,patch,named,32.0,32.0,2,0.0,False,1,35,3500,31.0,2,56,6,0,2,56,6,0,0,0,1,2,2,6,1.0,1.0,0.0,0.0,,False
64,patch,named,32.0,32.0,2,0.0,False,1,36,3600,31.0,2,56,6,0,2,56,6,0,0,0,1,2,2,6,1.0,1.0,0.0,0.0,,False
64,patch,named,32.0,32.0,2,0.0,False,1,37,3700,31.0,2,56,6,0,2,56,6,0,0,0,1,2,2,6,1.0,1.0,0.0,0.0,,False
64,patch,named,32.0,32.0,2,0.0,False,1,38,3800,31.0,2,56,6,0,2,56,6,0,0,0,1,2,2,6,1.0,1.0,0.0,0.0,,False
64,patch,named,32.0,32.0,2,0.0,False,1,39,3900,31.0,2,56,6,0,2,56,6,0,0,0,1,2,2,6,1.0,1.0,0.0,0.0,,False
64,patch,named,32.0,32.0,2,0.0,False,1,40,4000,31.0,2,56,6,0,2,56,6,0,0,0,1,2,2,6,1.0,1.0,0.0,0.0,,True
64,patch,named,32.0,32.0,2,0.0,False,2,0,0,32.0,0,56,8,0,0,56,8,0,0,0,0,0,1,8,0.0,0.0,0.0,0.0,,False
64,patch,named,32.0,32.0,2,0.0,False,2,1,100,32.0,0,56,8,0,0,56,8,0,0,0,0,0,1,8,0.0,0.0,0.0,0.0,,False
64,patch,named,32.0,32.0,2,0.0,False,2,2,200,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,,False
64,patch,named,32.0,32.0,2,0.0,False,2,3,300,32.0,0,56,8,0,0,56,8,0,0,0,0,0,1,8,0.0,0.0,0.0,0.0,,False
64,patch,named,32.0,32.0,2,0.0,False,2,4,400,26.0,1,58,5,0,1,58,5,0,0,0,1,1,2,5,6.0,6.0,0.0,0.0,,False
64,patch,named,32.0,32.0,2,0.0,False,2,5,500,26.0,1,58,5,0,1,58,5,0,0,0,1,1,2,5,6.0,6.0,0.0,0.0,,False
64,patch,named,32.0,32.0,2,0.0,False,2,6,600,26.0,1,58,5,0,1,58,5,0,0,0,1,1,2,5,6.0,6.0,0.0,0.0,,False
64,patch,named,32.0,32.0,2,0.0,False,2,7,700,26.0,1,58,5,0,1,58,5,0,0,0,1,1,2,5,6.0,6.0,0.0,0.0,,False
64,patch,named,32.0,32.0,2,0.0,False,2,8,800,26.0,1,58,5,0,1,58,5,0,0,0,1,1,2,5,6.0,6.0,0.0,0.0,,False
64,patch,named,32.0,32.0,2,0.0,False,2,9,900,26.0,1,58,5,0,1,58,5,0,0,0,1,1,2,5,6.0,6.0,0.0,0.0,,False
64,patch,named,32.0,32.0,2,0.0,False,2,10,1000,26.0,1,58,5,0,1,58,5,0,0,0,1,1,2,5,6.0,6.0,0.0,0.0,,False
64,patch,named,32.0,32.0,2,0.0,False,2,11,1100,26.0,1,58,5,0,1,58,5,0,0,0,1,1,2,5,6.0,6.0,0.0,0.0,,False
64,patch,named,32.0,32.0,2,0.0,False,2,12,1200,26.0,1,58,5,0,1,58,5,0,0,0,1,1,2,5,6.0,6.0,0.0,0.0,,False
64,patch,named,32.0,32.0,2,0.0,False,2,13,1300,26.0,1,58,5,0,1,58,5,0,0,0,1,1,2,5,6.0,6.0,0.0,0.0,,False
64,patch,named,32.0,32.0,2,0.0,False,2,14,1400,26.0,1,58,5,0,1,58,5,0,0,0,1,1,2,5,6.0,6.0,0.0,0.0,,False
64,patch,named,32.0,32.0,2,0.0,False,2,15,1500,26.0,1,58,5,0,1,58,5,0,0,0,1,1,2,5,6.0,6.0,0.0,0.0,,False
64,patch,named,32.0,32.0,2,0.0,False,2,16,1600,32.0,0,56,8,0,0,56,8,0,0,0,0,0,1,8,0.0,0.0,0.0,0.0,,False
64,patch,named,32.0,32.0,2,0.0,False,2,17,1700,26.0,1,58,5,0,1,58,5,0,0,0,1,1,2,5,6.0,6.0,0.0,0.0,,False
64,patch,named,32.0,32.0,2,0.0,False,2,18,1800,26.0,1,58,5,0,1,58,5,0,0,0,1,1,2,5,6.0,6.0,0.0,0.0,,False
64,patch,named,32.0,32.0,2,0.0,False,2,19,1900,26.0,1,58,5,0,1,58,5,0,0,0,1,1,2,5,6.0,6.0,0.0,0.0,,False
64,patch,named,32.0,32.0,2,0.0,False,2,20,2000,26.0,1,58,5,0,1,58,5,0,0,0,1,1,2,5,6.0,6.0,0.0,0.0,,False
64,patch,named,32.0,32.0,2,0.0,False,2,21,2100,26.0,1,58,5,0,1,58,5,0,0,0,1,1,2,5,6.0,6.0,0.0,0.0,,False
64,patch,named,32.0,32.0,2,0.0,False,2,22,2200,26.0,1,58,5,0,1,58,5,0,0,0,1,1,2,5,6.0,6.0,0.0,0.0,,False
64,patch,named,32.0,32.0,2,0.0,False,2,23,2300,26.0,1,58,5,0,1,58,5,0,0,0,1,1,2,5,6.0,6.0,0.0,0.0,,False
64,patch,named,32.0,32.0,2,0.0,False,2,24,2400,26.0,1,58,5,0,1,58,5,0,0,0,1,1,2,5,6.0,6.0,0.0,0.0,,False
64,patch,named,32.0,32.0,2,0.0,False,2,25,2500,26.0,1,58,5,0,1,58,5,0,0,0,1,1,2,5,6.0,6.0,0.0,0.0,,False
64,patch,named,32.0,32.0,2,0.0,False,2,26,2600,26.0,1,58,5,0,1,58,5,0,0,0,1,1,2,5,6.0,6.0,0.0,0.0,,False
64,patch,named,32.0,32.0,2,0.0,False,2,27,2700,26.0,1,58,5,0,1,58,5,0,0,0,1,1,2,5,6.0,6.0,0.0,0.0,,False
64,patch,named,32.0,32.0,2,0.0,False,2,28,2800,26.0,1,58,5,0,1,58,5,0,0,0,1,1,2,5,6.0,6.0,0.0,0.0,,False
64,patch,named,32.0,32.0,2,0.0,False,2,29,2900,26.0,1,58,5,0,1,58,5,0,0,0,1,1,2,5,6.0,6.0,0.0,0.0,,False
64,patch,named,32.0,32.0,2,0.0,False,2,30,3000,26.0,1,58,5,0,1,58,5,0,0,0,1,1,2,5,6.0,6.0,0.0,0.0,,False
64,patch,named,32.0,32.0,2,0.0,False,2,31,3100,26.0,1,58,5,0,1,58,5,0,0,0,1,1,2,5,6.0,6.0,0.0,0.0,,False
64,patch,named,32.0,32.0,2,0.0,False,2,32,3200,26.0,1,58,5,0,1,58,5,0,0,0,1,1,2,5,6.0,6.0,0.0,0.0,,False
64,patch,named,32.0,32.0,2,0.0,False,2,33,3300,26.0,1,58,5,0,1,58,5,0,0,0,1,1,2,5,6.0,6.0,0.0,0.0,,False
64,patch,named,32.0,32.0,2,0.0,False,2,34,3400,26.0,1,58,5,0,1,58,5,0,0,0,1,1,2,5,6.0,6.0,0.0,0.0,,False
