N,t_cool,g_hot,g_cold,replica,followed,block,sweep,g,n_d1,pieces_d1,n_damage,h,final
96,300,1.25,0.25,1,True,23,11500,0.25,4,1,4,14.0,False
96,300,1.25,0.25,1,True,24,12000,0.25,4,1,4,14.0,False
96,300,1.25,0.25,1,True,25,12500,0.25,4,1,4,14.0,False
96,300,1.25,0.25,1,True,26,13000,0.25,4,1,4,14.0,False
96,300,1.25,0.25,1,True,27,13500,0.25,4,1,4,14.0,False
96,300,1.25,0.25,1,True,28,14000,0.25,4,1,4,14.0,False
96,300,1.25,0.25,1,True,29,14500,0.25,4,1,4,14.0,False
96,300,1.25,0.25,1,True,30,15000,0.25,4,1,4,14.0,False
96,300,1.25,0.25,1,True,31,15500,0.25,4,1,4,14.0,False
96,300,1.25,0.25,1,True,32,16000,0.25,4,1,4,14.0,False
96,300,1.25,0.25,1,True,33,16500,0.25,4,1,4,14.0,False
96,300,1.25,0.25,1,True,34,17000,0.25,4,1,4,14.0,False
96,300,1.25,0.25,1,True,35,17500,0.25,4,1,4,14.0,False
96,300,1.25,0.25,1,True,36,18000,0.25,4,1,4,14.0,False
96,300,1.25,0.25,1,True,37,18500,0.25,4,1,4,14.0,False
96,300,1.25,0.25,1,True,38,19000,0.25,4,1,4,14.0,False
96,300,1.25,0.25,1,True,39,19500,0.25,4,1,4,14.0,False
96,300,1.25,0.25,1,True,40,20000,0.25,4,1,4,14.0,False
96,300,1.25,0.25,1,True,41,20500,0.25,4,1,4,14.0,True
96,300,1.25,0.25,2,True,0,0,1.25,4,1,4,14.0,False
