N,points,protocol,budget_per_point,replica,folded,flat,melted,folded_share,phi_end,h_end_per_point,drift,symmetries_end,d0,d1,d2,d3,d4,d5,d6
64,interchangeable,bath,4.0,1,4,52,8,0.3333333333333333,0.984375,0.875,0.0,1,0,4,52,8,0,0,0
64,interchangeable,bath,4.0,2,3,46,15,0.16666666666666666,0.953125,1.21875,0.0,1,0,3,46,15,0,0,0
64,interchangeable,bath,4.0,3,0,56,8,0.0,0.96875,0.5,0.0,1,0,0,56,8,0,0,0
64,interchangeable,bath,4.0,4,0,56,8,0.0,0.96875,0.5,0.0,1,0,0,56,8,0,0,0
64,interchangeable,bath,4.0,5,0,52,12,0.0,0.953125,0.90625,0.0,1,0,0,52,12,0,0,0
64,interchangeable,bath,8.0,0,4,35,25,0.13793103448275862,0.90625,2.125,0.0,1,0,4,35,22,3,0,0
64,interchangeable,bath,8.0,1,0,23,41,0.0,0.828125,2.828125,0.0,1,0,0,23,38,3,0,0
64,interchangeable,bath,8.0,2,2,40,22,0.08333333333333333,0.921875,1.5625,0.0,1,0,2,40,22,0,0,0
64,interchangeable,bath,8.0,3,2,38,24,0.07692307692307693,0.90625,1.96875,0.0,1,0,2,38,22,2,0,0
64,interchangeable,bath,8.0,4,0,32,32,0.0,0.859375,2.40625,0.0,1,0,0,32,28,4,0,0
64,interchangeable,bath,8.0,5,0,28,36,0.0,0.84375,2.734375,0.0,1,0,0,28,32,4,0,0
64,interchangeable,bath,16.0,0,0,6,58,0.0,0.625,6.078125,0.0,1,0,0,6,30,18,10,0
64,interchangeable,bath,16.0,1,3,18,43,0.06521739130434782,0.78125,4.125,0.0,1,0,3,18,30,10,3,0
64,interchangeable,bath,16.0,2,2,11,51,0.03773584905660377,0.71875,5.125,0.0,1,0,2,11,29,21,1,0
64,interchangeable,bath,16.0,3,0,9,55,0.0,0.640625,5.90625,0.0,1,0,0,9,28,19,6,2
64,interchangeable,bath,16.0,4,1,14,49,0.02,0.703125,5.0625,0.0,1,0,1,14,27,16,6,0
64,interchangeable,bath,16.0,5,0,8,56,0.0,0.640625,5.90625,0.0,1,0,0,8,24,28,4,0
