N,lx,ly,spark,replica,left,first_change,phi_start,phi_end,energy_start,energy_end,lowest_energy,demon_end,acceptance,lam,cap
64,16,4,8.0,3,False,,1.25,1.25,1.0,1.0,1.0,8.0,0.003897135416666667,1.25,none
64,16,4,8.0,4,False,,1.25,1.25,1.0,1.0,1.0,8.0,0.003891927083333333,1.25,none
64,16,4,8.0,5,False,,1.25,1.25,1.0,1.0,1.0,8.0,0.0038626302083333334,1.25,none
64,16,4,8.0,6,False,,1.25,1.25,1.0,1.0,1.0,8.0,0.003888020833333333,1.25,none
64,16,4,8.0,7,False,,1.25,1.25,1.0,1.0,1.0,8.0,0.003942057291666667,1.25,none
64,16,4,10.0,0,False,,1.25,1.25,1.0,1.0,1.0,10.0,0.003940755208333333,1.25,none
64,16,4,10.0,1,False,,1.25,1.25,1.0,1.0,1.0,10.0,0.003848958333333333,1.25,none
64,16,4,10.0,2,False,,1.25,1.25,1.0,1.0,1.0,10.0,0.0038326822916666665,1.25,none
64,16,4,10.0,3,False,,1.25,1.25,1.0,1.0,1.0,10.0,0.003897135416666667,1.25,none
64,16,4,10.0,4,False,,1.25,1.25,1.0,1.0,1.0,10.0,0.003891927083333333,1.25,none
64,16,4,10.0,5,False,,1.25,1.25,1.0,1.0,1.0,10.0,0.0038626302083333334,1.25,none
64,16,4,10.0,6,False,,1.25,1.25,1.0,1.0,1.0,10.0,0.003888020833333333,1.25,none
64,16,4,10.0,7,False,,1.25,1.25,1.0,1.0,1.0,10.0,0.003942057291666667,1.25,none
64,16,4,11.0,0,False,,1.25,1.25,1.0,1.0,1.0,11.0,0.003940755208333333,1.25,none
64,16,4,11.0,1,False,,1.25,1.25,1.0,1.0,1.0,11.0,0.003848958333333333,1.25,none
64,16,4,11.0,2,False,,1.25,1.25,1.0,1.0,1.0,11.0,0.0038326822916666665,1.25,none
64,16,4,11.0,3,False,,1.25,1.25,1.0,1.0,1.0,11.0,0.003897135416666667,1.25,none
64,16,4,11.0,4,False,,1.25,1.25,1.0,1.0,1.0,11.0,0.003891927083333333,1.25,none
64,16,4,11.0,5,False,,1.25,1.25,1.0,1.0,1.0,11.0,0.0038626302083333334,1.25,none
64,16,4,11.0,6,False,,1.25,1.25,1.0,1.0,1.0,11.0,0.003888020833333333,1.25,none
64,16,4,11.0,7,False,,1.25,1.25,1.0,1.0,1.0,11.0,0.003942057291666667,1.25,none
64,16,4,11.5,0,False,,1.25,1.25,1.0,1.0,1.0,11.5,0.003940755208333333,1.25,none
64,16,4,11.5,1,False,,1.25,1.25,1.0,1.0,1.0,11.5,0.003848958333333333,1.25,none
64,16,4,11.5,2,False,,1.25,1.25,1.0,1.0,1.0,11.5,0.0038326822916666665,1.25,none
64,16,4,11.5,3,False,,1.25,1.25,1.0,1.0,1.0,11.5,0.003897135416666667,1.25,none
64,16,4,11.5,4,False,,1.25,1.25,1.0,1.0,1.0,11.5,0.003891927083333333,1.25,none
64,16,4,11.5,5,False,,1.25,1.25,1.0,1.0,1.0,11.5,0.0038626302083333334,1.25,none
64,16,4,11.5,6,False,,1.25,1.25,1.0,1.0,1.0,11.5,0.003888020833333333,1.25,none
64,16,4,11.5,7,False,,1.25,1.25,1.0,1.0,1.0,11.5,0.003942057291666667,1.25,none
64,16,4,12.0,0,True,2,1.21875,0.984375,1.1875,1.1875,0.890625,0.0,0.0016848958333333334,1.25,none
64,16,4,12.0,1,True,8,1.203125,0.9375,1.125,1.15625,0.796875,2.0,0.0020377604166666665,1.25,none
64,16,4,12.0,2,True,3,1.21875,0.9375,1.1875,1.15625,0.65625,2.0,0.0021809895833333334,1.25,none
64,16,4,12.0,3,True,11,1.21875,1.015625,1.1875,1.15625,0.734375,2.0,0.002438802083333333,1.25,none
64,16,4,12.0,4,True,21,1.21875,0.984375,1.1875,1.1875,0.734375,0.0,0.0023815104166666668,1.25,none
64,16,4,12.0,5,True,3,1.21875,0.953125,1.1875,1.140625,0.53125,3.0,0.0017584635416666666,1.25,none
64,16,4,12.0,6,True,12,1.21875,0.984375,1.1875,1.1875,0.78125,0.0,0.002130859375,1.25,none
64,16,4,12.0,7,True,40,1.21875,0.96875,1.1875,1.125,0.625,4.0,0.0021419270833333334,1.25,none
64,16,4,13.0,0,True,2,1.21875,0.984375,1.1875,1.1875,0.8125,1.0,0.002453125,1.25,none
64,16,4,13.0,1,True,8,1.203125,0.9375,1.125,1.15625,0.78125,3.0,0.0020911458333333333,1.25,none
64,16,4,13.0,2,True,3,1.21875,0.9375,1.1875,1.0,0.875,13.0,0.0025950520833333333,1.25,none
64,16,4,13.0,3,True,11,1.21875,0.96875,1.1875,1.125,0.4375,5.0,0.0017298177083333334,1.25,none
64,16,4,13.0,4,True,21,1.21875,0.9375,1.1875,1.15625,0.734375,3.0,0.0015123697916666666,1.25,none
