N,D,replica,leg,g,ln_g,squares_per_vertex,spv_err,phi,acceptance,tau_int,surplus,lam
500,3,0,cool,0.5334,-0.6284836672342232,10.512,0.0,0.876,1.3e-05,nan,0.22528800000000002,1.0
500,3,0,cool,0.5036,-0.6859729768119448,10.514959999999999,0.0008360577970449711,0.8762466666666666,1.5e-05,50.22059016449144,0.22420400000000001,1.0
500,3,0,cool,0.4754,-0.7435987240560435,10.52,0.0,0.8766666666666667,1.2e-05,nan,0.224,1.0
500,3,0,cool,0.4488,-0.8011779247736506,10.533712,0.0007890943995845586,0.8778093333333333,6e-06,46.653738830572664,0.228,1.0
500,3,0,cool,0.4237,-0.8587296213496235,10.536,0.0,0.878,7e-06,nan,0.228,1.0
500,3,0,cool,0.4,-0.916290731874155,10.536,0.0,0.878,8e-06,nan,0.228,1.0
500,3,0,heat,0.4237,-0.8587296213496235,10.544,0.0,0.8786666666666667,6e-06,nan,0.228,1.0
500,3,0,heat,0.4488,-0.8011779247736506,10.544,0.0,0.8786666666666667,2e-06,nan,0.228,1.0
500,3,0,heat,0.4754,-0.7435987240560435,10.544,0.0,0.8786666666666667,0.0,nan,0.228,1.0
500,3,0,heat,0.5036,-0.6859729768119448,10.544,0.0,0.8786666666666667,8e-06,nan,0.228,1.0
500,3,0,heat,0.5334,-0.6284836672342232,10.544,0.0,0.8786666666666667,0.0,nan,0.228,1.0
500,3,0,heat,0.565,-0.5709295478356962,10.544,0.0,0.8786666666666667,1e-05,nan,0.228,1.0
500,3,0,heat,0.5985,-0.5133287539841092,10.544,0.0,0.8786666666666667,1.2e-05,nan,0.228,1.0
500,3,0,heat,0.634,-0.4557063245449111,10.544,0.0,0.8786666666666667,1e-05,nan,0.228,1.0
500,3,0,heat,0.6715,-0.3982412630188448,10.544,0.0,0.8786666666666667,8e-06,nan,0.228,1.0
500,3,0,heat,0.7113,-0.3406609972426675,10.544,0.0,0.8786666666666667,1e-05,nan,0.228,1.0
500,3,0,heat,0.7535,-0.28302626091558697,10.544,0.0,0.8786666666666667,4e-06,nan,0.228,1.0
500,3,0,heat,0.7981,-0.2255213761001738,10.544,0.0,0.8786666666666667,1e-05,nan,0.228,1.0
500,3,0,heat,0.8454,-0.16794539084944746,10.544,0.0,0.8786666666666667,4e-06,nan,0.228,1.0
500,3,0,heat,0.8955,-0.11037305748137062,10.544,0.0,0.8786666666666667,1e-05,nan,0.228,1.0
500,3,0,heat,0.9485,-0.05287348960706815,10.544,0.0,0.8786666666666667,1e-05,nan,0.22908,1.0
500,3,0,heat,1.0048,0.004788516731797094,10.544,0.0,0.8786666666666667,1e-05,nan,0.23,1.0
500,3,0,heat,1.0643,0.062317306064861584,10.544,0.0,0.8786666666666667,8e-06,nan,0.231608,1.0
500,3,0,heat,1.1274,0.11991409666533755,10.544,0.0,0.8786666666666667,1e-05,nan,0.231168,1.0
500,3,0,heat,1.1942,0.17747650513075494,10.544,0.0,0.8786666666666667,1.6e-05,nan,0.231632,1.0
500,3,0,heat,1.2649,0.234993067671359,10.551999999999998,1.7763568394002505e-15,0.8793333333333333,1.8e-05,nan,0.236,1.0
500,3,0,heat,1.3399,0.29259498431242537,10.551999999999998,1.7763568394002505e-15,0.8793333333333333,6e-06,nan,0.237256,1.0
500,3,0,heat,1.4193,0.35016379232307504,10.551999999999998,1.7763568394002505e-15,0.8793333333333333,1e-05,nan,0.238,1.0
500,3,0,heat,1.5033,0.40766269165165164,10.56,0.0,0.88,4e-06,nan,0.242,1.0
500,3,0,heat,1.5924,0.4652423121440251,10.56,0.0,0.88,8e-06,nan,0.240216,1.0
500,3,0,heat,1.6868,0.5228332428902678,10.56,0.0,0.88,2.2e-05,nan,0.24,1.0
500,3,0,heat,1.7867,0.5803703429569844,10.56,0.0,0.88,1.6e-05,nan,0.242584,1.0
500,3,0,heat,1.8926,0.6379515450919953,10.568,1.7763568394002505e-15,0.8806666666666667,2e-05,nan,0.242,1.0
500,3,0,heat,2.0047,0.6954944236282935,10.568,1.7763568394002505e-15,0.8806666666666667,2.8e-05,nan,0.24789599999999998,1.0
500,3,0,heat,2.1235,0.7530656707711888,10.568,1.7763568394002505e-15,0.8806666666666667,1.4e-05,nan,0.248,1.0
500,3,0,heat,2.2494,0.8106635139877844,10.568384000000002,6.352098515800858e-05,0.8806986666666666,1.4e-05,5.995506471104528,0.248984,1.0
500,3,0,heat,2.3826,0.8681923283831238,10.576799999999999,0.0005105918134872598,0.8814,3.6e-05,14.1559840837394,0.25612,1.0
500,3,0,heat,2.5238,0.9257657022366732,10.568,1.7763568394002505e-15,0.8806666666666667,2e-05,nan,0.244,1.0
500,3,0,heat,2.6734,0.9833510705552356,10.563968000000001,0.0008337788782271375,0.8803306666666667,3.4e-05,28.018277425821935,0.241824,1.0
500,3,0,heat,2.8318,1.0409125518687334,10.591935999999999,0.002370606673406652,0.8826613333333333,4.6e-05,24.276897809775445,0.263832,1.0
500,3,0,heat,2.9996,1.0984789464450972,10.605792000000003,0.0007115357287824248,0.8838159999999999,3.6e-05,14.31529717974137,0.260848,1.0
500,3,0,heat,3.1773,1.156031779535596,10.599968,0.0014980978101876439,0.8833306666666667,3e-05,17.85031635615513,0.256504,1.0
