N,replica,leg,g,phi,phi_sd,chi,acceptance
400,0,heat,200,0.05353,0.0110229654207326,0.048602306666666664,0.952415
900,0,cool,200,0.023908888888888886,0.004965768748065022,0.02219297333333333,0.9787686111111111
900,0,cool,120,0.025076296296296298,0.005018150376001014,0.02266364987654321,0.9740647222222222
900,0,cool,80,0.02702814814814815,0.005233104291074467,0.0246468424691358,0.9678183333333333
900,0,cool,60,0.028682222222222224,0.005520713408900146,0.027430448888888886,0.9613591666666667
900,0,cool,45,0.031250370370370366,0.005648586795353019,0.028715879506172843,0.9519202777777778
900,0,cool,35,0.03437777777777778,0.006058466850295683,0.033034518518518526,0.9403072222222222
900,0,cool,28,0.03810148148148148,0.00617639788301627,0.034333101728395064,0.9262775
900,0,cool,22,0.04421703703703705,0.006767032607834891,0.041213457283950615,0.9046236111111111
900,0,cool,18,0.05125111111111111,0.007351782964506068,0.04864384148148147,0.8800313888888889
900,0,cool,15,0.060163703703703705,0.007656538631355756,0.05276032543209876,0.8486361111111111
900,0,cool,12,0.07631481481481482,0.00839353971315581,0.06340635802469136,0.7953575
900,0,cool,10,0.09550592592592592,0.009185424459249048,0.07593482024691359,0.7338991666666667
900,0,cool,8,0.13230148148148146,0.01065313058311267,0.10214027209876543,0.6266747222222222
900,0,cool,6.5,0.1853362962962963,0.01143907063095,0.11776710320987656,0.49230444444444443
900,0,cool,5,0.2919725925925926,0.01294843484299944,0.15089576839506172,0.28735694444444443
900,0,cool,4,0.41836888888888885,0.012612863771177743,0.14317589925925925,0.13458305555555555
900,0,cool,3,0.6125348148148148,0.010077284782475167,0.091396501728395,0.03254
900,0,cool,2,0.785634074074074,0.013400771101618367,0.16162259950617297,0.006847777777777778
900,0,heat,3,0.6089133333333333,0.01286550477706663,0.14896909185185184,0.027567222222222222
900,0,heat,4,0.4193762962962963,0.013110337621042521,0.15469285728395057,0.132115
900,0,heat,5,0.2914392592592593,0.012420418849200487,0.13884012395061726,0.2865563888888889
900,0,heat,6.5,0.18407037037037036,0.011981569637319516,0.1292022098765432,0.49229527777777776
900,0,heat,8,0.1325237037037037,0.010808873329870218,0.10514856839506172,0.6265958333333334
900,0,heat,10,0.09567999999999999,0.009344137661762873,0.07858161777777778,0.7327663888888889
900,0,heat,12,0.07600518518518519,0.008677930350692368,0.06777582765432098,0.7957552777777778
900,0,heat,15,0.06024370370370371,0.0076895974482624075,0.05321691802469136,0.8483991666666667
900,0,heat,18,0.05149777777777778,0.006789385567089324,0.04148618074074074,0.8798163888888889
900,0,heat,22,0.0441288888888889,0.006577490984738861,0.038937048888888895,0.9046597222222222
900,0,heat,28,0.03822222222222223,0.006337165831970394,0.03614370370370371,0.9263552777777778
900,0,heat,35,0.03441555555555555,0.005885742415873144,0.031177767407407415,0.9401291666666667
900,0,heat,45,0.031469629629629625,0.005869207455791802,0.03100283654320988,0.9515730555555556
900,0,heat,60,0.028637037037037034,0.005389131978735069,0.026138469135802464,0.9612186111111111
900,0,heat,80,0.027056296296296297,0.005384595413219117,0.02609448098765432,0.9678183333333333
900,0,heat,120,0.025520740740740743,0.005445844667511292,0.02669150172839506,0.9740163888888889
900,0,heat,200,0.02379111111111111,0.005004967409027964,0.022544728888888886,0.9788844444444444
