N,replica,leg,g,phi,phi_sd,chi,acceptance,phi_err,chi_err,tau_int,lx,ly,lam,cap,surplus,pieces,largest_frac,baby_frac,cube_frac
484,0,cool,4.596,0.4597144628099173,0.019228311835945932,0.17894834041322316,0.12379362248192148,0.0009486639320487644,0.00886807763555609,8.736623097703216,22,22,1.0,none,0.012869834710743802,1.0,1.0,0.0,0.0
484,0,cool,4.357,0.49197768595041313,0.018641821798798086,0.16819847966942147,0.09980499015366735,0.0006802355757489037,0.010381164816497633,11.219006546723197,22,22,1.0,none,0.01620888429752066,1.0,1.0,0.0,0.0
484,0,cool,4.131,0.5268010330578512,0.01908778943845551,0.1763423535330578,0.07859098576317149,0.001188850625152839,0.011811796623655026,16.358635193279593,22,22,1.0,none,0.02107314049586777,1.0,1.0,0.0,0.0
484,0,cool,3.917,0.5600626033057851,0.01923203689269029,0.17901768163223142,0.06181479209710744,0.0012858366074638638,0.008692420134733755,23.924012386706323,22,22,1.0,none,0.025978099173553718,1.0,1.0,0.0,0.0
484,0,cool,3.713,0.5960853305785123,0.016765427331506304,0.136042503946281,0.04693341215779959,0.0011722780554019431,0.007732723177416725,24.244239474857363,22,22,1.0,none,0.03275289256198347,1.0,1.0,0.0,0.0
484,0,cool,3.52,0.6328690082644628,0.0182696234014906,0.1615491033884298,0.035375673908832644,0.0012814724426530263,0.008623579308017245,37.82885284884797,22,22,1.0,none,0.041519421487603306,1.0,1.0,0.0,0.0
484,0,cool,3.338,0.6679064049586777,0.01838380607553918,0.16357473369834713,0.026773651375258264,0.0018898598705970146,0.02422084869223972,63.226516404115685,22,22,1.0,none,0.051673966942148764,1.0,1.0,0.0,0.0
484,0,cool,3.164,0.7062564049586777,0.01894599376004594,0.17373212890495868,0.019638288513688016,0.0028327223150512726,0.02607973978548552,153.50813067253813,22,22,1.0,none,0.06493636363636364,1.0,1.0,0.0,0.0
484,0,cool,3.0,0.7379549586776859,0.016049268658915032,0.12466824785123964,0.014885011783316115,0.0022682836508584664,0.01592189398530262,138.9190830924301,22,22,1.0,none,0.07834628099173555,1.0,1.0,0.0,0.0
484,0,cool,2.844,0.771357438016529,0.01555586607795104,0.11712072520661157,0.01145826607696281,0.0024283679065917633,0.01587711608156202,181.4625780113578,22,22,1.0,none,0.09197954545454545,1.0,1.0,0.0,0.0
484,0,cool,2.697,0.8048654958677686,0.014282044182731596,0.09872476444214875,0.008413771952479339,0.0021209273067294967,0.012201784812776305,183.27134184659565,22,22,1.0,none,0.10273553719008263,1.0,1.0,0.0,0.0
484,0,cool,2.557,0.833246694214876,0.01438756786169215,0.10018902074380166,0.006859847139721075,0.002111000788548925,0.011314487728417146,168.06838503522187,22,22,1.0,none,0.11968367768595042,1.0,1.0,0.0,0.0
484,0,cool,2.424,0.8678564049586778,0.012944687905651819,0.0811014333677686,0.004812899502840909,0.0021360981935208503,0.012859401970460265,285.0553362260229,22,22,1.0,none,0.13082148760330578,1.0008,0.9999735537190082,0.0,0.0
484,0,cool,2.298,0.8968743801652892,0.012688237767244887,0.07791982677685952,0.004591861441115702,0.002322999815813488,0.01852475167274413,510.76013869242587,22,22,1.0,none,0.13106239669421488,1.0,1.0,0.0,0.0
484,0,cool,2.179,0.9329979338842975,0.010708572047640218,0.055501981404958683,0.005180724593233471,0.0016338472809714266,0.007172259345786034,168.68077127074733,22,22,1.0,none,0.15968078512396694,1.0,1.0,0.0,0.0
484,0,cool,2.066,0.9460710743801654,0.015028670185091976,0.10931668892561987,0.004624548037190083,0.0029915997816583758,0.02095354191568694,779.5778022634371,22,22,1.0,none,0.19036983471074378,1.0585,0.997099173553719,0.0,0.0
484,0,cool,1.958,0.9593423553719009,0.010814494283971805,0.05660539072314048,0.003653332418646694,0.0018880900311168294,0.0088360909259273,254.2284834843022,22,22,1.0,none,0.1826417355371901,1.008,0.9997285123966942,0.0,0.0
484,0,cool,1.857,0.9792012396694215,0.012829025411384224,0.079658604214876,0.0036454634232954545,0.0023681603422182253,0.012384891728940356,744.760322848937,22,22,1.0,none,0.22524028925619835,1.0338,0.9988074380165289,2.9752066115702478e-05,2.9752066115702478e-05
484,0,cool,1.76,1.0009518595041322,0.013596588546122453,0.08947573452479338,0.0027191414320764462,0.002730813689003875,0.01983911288214829,543.9722654623248,22,22,1.0,none,0.27816900826446284,1.0941,0.9965946280991737,0.00010578512396694216,0.00010578512396694216
484,0,cool,1.669,1.0081607438016527,0.012712855410099488,0.07822247925619837,0.002082660769628099,0.0025464187211214316,0.022830226496338653,458.5692849844469,22,22,1.0,none,0.28736425619834716,1.4326,0.9842404958677686,0.00021694214876033058,0.0
484,0,cool,1.582,1.0202568181818181,0.011900360397138848,0.06854339154958669,0.0012763913997933885,0.0024370819515319533,0.01836833717191542,409.87183404722253,22,22,1.0,none,0.3001128099173554,1.8876,0.967855785123967,0.0013285123966942148,7.603305785123966e-05
484,0,cool,1.5,1.0256570247933885,0.008944605038367984,0.03872288429752059,0.0009417573282541322,0.0016595200649569747,0.009007122117124311,272.0525832470474,22,22,1.0,none,0.29644338842975204,2.6044,0.9427710743801653,0.0019582644628099175,0.00016198347107438017
484,0,heat,1.5,1.0,0.0,0.0,0.0,0.0,0.0,nan,22,22,1.0,none,0.0,1.0,1.0,0.0,0.0
484,0,heat,1.582,1.0,0.0,0.0,0.0,0.0,0.0,nan,22,22,1.0,none,0.0,1.0,1.0,0.0,0.0
484,0,heat,1.669,1.0,0.0,0.0,0.0,0.0,0.0,nan,22,22,1.0,none,0.0,1.0,1.0,0.0,0.0
484,0,heat,1.76,1.0,0.0,0.0,0.0,0.0,0.0,nan,22,22,1.0,none,0.0,1.0,1.0,0.0,0.0
484,0,heat,1.857,1.0,0.0,0.0,0.0,0.0,0.0,nan,22,22,1.0,none,0.0,1.0,1.0,0.0,0.0
484,0,heat,1.958,1.0,0.0,0.0,0.0,0.0,0.0,nan,22,22,1.0,none,0.0,1.0,1.0,0.0,0.0
484,0,heat,2.066,1.0,0.0,0.0,0.0,0.0,0.0,nan,22,22,1.0,none,0.0,1.0,1.0,0.0,0.0
484,0,heat,2.179,1.0,0.0,0.0,0.0,0.0,0.0,nan,22,22,1.0,none,0.0,1.0,1.0,0.0,0.0
