N,replica,leg,g,phi,phi_sd,chi,acceptance,phi_err,chi_err,tau_int,lx,ly
160,2,cool,5.75,0.5166796875,0.029723677586687414,0.141359521484375,0.11443854166666667,0.0016457080651510207,0.006517834536847426,4.596438345921489,16,10
160,2,cool,5.62,0.52820625,0.02974095910419669,0.14152394375,0.10640052083333333,0.0013836333647632005,0.007216073171286886,4.925490111303469,16,10
160,2,cool,5.01,0.575775,0.028290225785595986,0.1280539,0.0717046875,0.0018977488015615054,0.007483640109294589,10.731814025331103,16,10
160,2,cool,3.98,0.6804328125000001,0.02781366179982139,0.123775965234375,0.027338020833333334,0.0030580020720027386,0.014602773008094512,33.00408516264327,16,10
160,2,cool,2.0,0.9099437500000002,0.010753304361334709,0.018501368750000014,0.00225625,0.002466710900538591,0.0031436769413655317,575.1300149826731,16,10
160,2,cool,0.562,0.9250000000000003,2.220446049250313e-16,7.888609052210118e-30,0.0019057291666666667,3.3306690738754696e-16,0.0,nan,16,10
160,2,cool,0.316,0.9250000000000003,2.220446049250313e-16,7.888609052210118e-30,0.0018692708333333332,3.3306690738754696e-16,0.0,nan,16,10
160,2,cool,0.178,0.9278281250000002,0.005201951819689875,0.004329648437499969,0.0017677083333333334,0.0011778965871913991,0.0012680098738345415,342.10562121836534,16,10
160,2,cool,0.1,0.9419624999999998,0.005988935109850477,0.005738774999999958,0.0013958333333333333,0.0013757248507604606,0.0008591758279872634,396.9207989882439,16,10
160,2,heat,0.1,1.0,0.0,0.0,0.0,0.0,0.0,nan,16,10
160,2,heat,0.178,1.0,0.0,0.0,0.0,0.0,0.0,nan,16,10
160,2,heat,0.316,1.0,0.0,0.0,0.0,0.0,0.0,nan,16,10
160,2,heat,0.562,1.0,0.0,0.0,0.0,0.0,0.0,nan,16,10
160,2,heat,2.0,1.0,0.0,0.0,0.0,0.0,0.0,nan,16,10
160,2,heat,3.98,0.8350906250000001,0.15086500455575963,3.6416399359374996,0.008603125,0.03467400409634345,0.3775622140233603,493.07008892820124,16,10
160,2,heat,5.01,0.5775234375,0.02639523508246505,0.11147334960937502,0.07071041666666666,0.0014918861215415997,0.005762155038574654,7.311478653802624,16,10
160,2,heat,5.62,0.526346875,0.029691815311367796,0.1410566234375,0.10631458333333334,0.0013096296293436057,0.007813498103727596,4.756979435799637,16,10
160,2,heat,5.75,0.5186828124999999,0.029329841909987237,0.137638340234375,0.114078125,0.0015708255265786753,0.004607111543300844,5.0347956343789235,16,10
160,2,heat,5.89,0.508815625,0.030172349815010678,0.1456593109375,0.122871875,0.0014862790706392601,0.004771268224791928,4.926665707318903,16,10
160,2,heat,6.03,0.49859062500000007,0.030221609708276212,0.14613531093749998,0.13078489583333333,0.0010567660856940148,0.007128911054045513,3.0703186193918897,16,10
160,2,heat,6.31,0.4827828125,0.031122616900171547,0.15497876523437498,0.1488015625,0.0008571504782380688,0.005499012298242687,2.9508399353998365,16,10
160,2,heat,7.94,0.40150156249999996,0.032280829460898205,0.166728312109375,0.2508796875,0.0008575954603103502,0.003968871553919113,1.5452649061438006,16,10
160,2,heat,10,0.3338578125,0.031807620228332764,0.161875952734375,0.36185260416666665,0.0007323961868828558,0.002892172178902519,1.0188620343525912,16,10
160,2,heat,15.85,0.243340625,0.030027467731385125,0.1442638109375,0.5579015625,0.00035369610172158566,0.0036925634415152656,0.5477882122097341,16,10
160,2,heat,25.1,0.192040625,0.02884813262343639,0.1331543609375,0.691065625,0.0003258122587161,0.0031236180043290023,0.48851779722479,16,10
160,2,heat,31.6,0.1754609375,0.02778742615367774,0.12354256835937501,0.7370817708333334,0.00041502352308850674,0.0025290106073281495,0.5270668783564999,16,10
160,2,heat,39.8,0.163046875,0.02701406155105846,0.11676152343750001,0.7731760416666666,0.0003811438704228857,0.002921939600448572,0.5317771553905148,16,10
160,2,heat,63.1,0.146340625,0.02630774136750198,0.11073556093749999,0.8233354166666667,0.0004601298297169089,0.00288024544905613,0.47097174996125546,16,10
160,2,heat,79.4,0.140284375,0.0255548045797532,0.10448768593750002,0.84089375,0.0005522090048161118,0.0018716216650086102,0.5252896210188498,16,10
160,2,heat,100,0.13515156250000002,0.02517327602207535,0.10139101210937501,0.8537875,0.00029566867409949006,0.0021784673245461295,0.5315250643460832,16,10
160,2,heat,177.8,0.128325,0.025036283045811732,0.100290475,0.8759697916666667,0.0003575610515368974,0.002037745644432042,0.49077218942577594,16,10
160,3,cool,177.8,0.1279453125,0.02476583571479759,0.09813545898437499,0.8761911458333334,0.0003546119147986817,0.0016435670327371278,0.4664100821218689,16,10
160,3,cool,100,0.1355703125,0.02519023204592097,0.101527646484375,0.8538036458333333,0.0002873484824922949,0.0016018879661718207,0.4961047524528602,16,10
160,3,cool,79.4,0.1400078125,0.02557330795164841,0.10463905273437502,0.8410015625,0.00033901981505510807,0.002724404052291557,0.5184948189484421,16,10
160,3,cool,63.1,0.14485000000000003,0.02585644262074735,0.1069689,0.8237348958333334,0.00033725571997268895,0.0023936785867998793,0.4630517473524025,16,10
160,3,cool,39.8,0.1623359375,0.02663120595037134,0.113475380859375,0.7734947916666667,0.0003433112787844656,0.0019373478650478021,0.43385004520559345,16,10
160,3,cool,31.6,0.1746125,0.027985875343644336,0.125313475,0.7379625,0.000397684880784142,0.0019548512124008153,0.5087509436646737,16,10
160,3,cool,25.1,0.19206406249999997,0.028212007733784097,0.127346780859375,0.6906723958333333,0.00037228098720925787,0.0029807407413522625,0.4878708849544464,16,10
160,3,cool,15.85,0.24294375,0.030434906845388895,0.14820536874999998,0.5573390625,0.00048387034452681687,0.003355273517564009,0.6050636279965923,16,10
160,3,cool,10,0.3359484375000001,0.032727343031990756,0.17137263710937503,0.3600776041666667,0.0007184615359928264,0.003945701444079084,0.966273582035722,16,10
160,3,cool,7.94,0.40207187499999997,0.031132345863817825,0.15507567343749998,0.24965104166666666,0.0007230231267102137,0.004574024040333033,1.561057072467097,16,10
160,3,cool,6.31,0.48186406249999997,0.030574637759441955,0.149569355859375,0.14993958333333332,0.0010865242266186678,0.006863791775885154,2.607509286879905,16,10
160,3,cool,6.03,0.49907656250000004,0.030469900579237107,0.148546374609375,0.13160625,0.0010478815825161576,0.006265466840149567,3.0333397809136087,16,10
160,3,cool,5.89,0.510359375,0.03037827512564489,0.1476543359375,0.12250104166666667,0.0016800494355955515,0.0051691434227256255,3.9883625955811826,16,10
160,3,cool,5.75,0.51815625,0.029165459424420184,0.13609984375,0.11390625,0.0011582648683205212,0.005313003132561421,3.8511107305084527,16,10
160,3,cool,5.62,0.52664375,0.029933409819756587,0.14336144375,0.10673489583333333,0.0010359998485903851,0.008566881435609686,4.967968618781463,16,10
160,3,cool,5.01,0.574696875,0.02868038293388662,0.1316102984375,0.0722046875,0.0014269391946384138,0.009701038446606814,7.07601605772047,16,10
160,3,cool,3.98,0.675515625,0.024624677781838588,0.0970199609375,0.027828125,0.0030756817776634747,0.00880136857154863,30.37794653857673,16,10
