N,lx,ly,replica,k,g,lam,cap,phi,surplus,e_mean,e_var,c_per_point,m2,m4,binder,levels_seen,sweeps,tau_int,acceptance,swap_rate,round_trips,pieces,largest_frac,baby_frac,cube_frac
64,8,8,2,8,7.3484,0.0,none,0.7210895833333333,0.14480390625,4.462566666666667,4138.627395128889,1.197542064371979,85708.42453333334,8661198827.246933,0.606984454038672,40,60000,2.726908242481929,0.08963925781249983,0.853125,1,1.00105,0.9997442708333333,0.0002557291666666667,0.00020833333333333335
64,8,8,2,9,7.1365,0.0,none,0.7379630208333333,0.16055208333333335,4.192591666666667,4687.8127442488885,1.4382015124189098,76686.58346666666,7115793456.605866,0.5966674242000611,45,60000,3.1315154143620907,0.08128242187500018,0.834625,1,1.0046833333333334,0.9988630208333333,0.0010411458333333334,0.0008041666666666667
64,8,8,2,10,6.9365,0.0,none,0.7632190104166666,0.19390494791666665,3.788495833333333,8878.294818062222,2.883160418794528,67666.9568,5843168398.5408,0.5746231436189734,60,60000,5.2695656415947125,0.07226582031250023,0.77325,1,1.03285,0.9922390625,0.007852604166666667,0.004691666666666667
64,8,8,2,11,6.7473,0.0,none,0.8368458333333333,0.34125833333333333,2.6104666666666665,39073.74605198223,13.410501993905966,66986.0864,6977792049.152,0.4816446834558956,63,60000,187.99133282980839,0.0594088867187497,0.296375,1,1.2720833333333332,0.9351703125,0.06781197916666666,0.0454375
64,8,8,2,12,6.5683,0.0,none,1.2935270833333334,1.42294609375,-4.696433333333333,75416.20645432889,27.313587610133602,165759.57333333333,34728393567.98293,0.5786857004199603,61,60000,1945.3179736910495,0.01583623046875079,0.6955,1,3.257433333333333,0.4560619791666667,0.6004885416666667,0.4574916666666667
64,8,8,2,13,6.3984,0.0,none,1.443671875,1.8068135416666666,-7.09875,10302.184533333331,3.9319372398009063,216708.84693333332,50236255878.07574,0.6434317032997015,55,60000,6.134355896620492,0.004585156249999971,0.84175,1,3.89375,0.2928588541666667,0.8109072916666666,0.6967708333333333
64,8,8,2,14,6.2372,0.0,none,1.4651705729166666,1.8712625,-7.442729166666667,2993.315198222222,1.2022454340037354,229888.02986666668,54934098930.346664,0.6535121311756151,40,60000,15.777381879195815,0.0020109374999997998,0.90225,1,3.9646,0.27105208333333336,0.8568895833333333,0.771475
64,8,8,2,15,6.0838,0.0,none,1.4732255208333334,1.8991442708333333,-7.571608333333334,2062.956188728889,0.8708837235497678,236883.57546666666,57673456881.937065,0.6574019951789909,36,60000,7.584392133673604,0.0012444335937499623,0.912125,1,3.98115,0.2638505208333333,0.8808411458333333,0.816875
64,8,8,2,16,5.9378,0.0,none,1.479884375,1.9230161458333332,-7.67815,1402.8120507733333,0.6216821290490951,242878.34453333332,60130622684.091736,0.6602207460965757,20,60000,5.488496230708565,0.0008910156250000668,0.935375,1,3.990083333333333,0.25893489583333335,0.9035401041666666,0.85835
64,8,8,2,17,5.7987,0.0,none,1.4840703125,1.9383880208333333,-7.745125,1048.581056,0.4872599898090647,246755.1744,61762459415.3472,0.6618800548816739,19,60000,4.505977183314355,0.0007275390625000517,0.941375,1,3.9941666666666666,0.25615885416666667,0.9183036458333333,0.8854
