N,replica,leg,g,phi,phi_sd,chi,acceptance,phi_err,chi_err,tau_int,lx,ly,lam,cap,surplus,pieces,largest_frac,baby_frac,cube_frac,swap_rate,round_trips
64,2,temper,8.0,0.62239765625,0.05020055261436956,0.16128611089843753,0.14165638020833332,0.00048331036680292953,0.0016178391822863592,1.691913083570074,16,4,1.25,none,0.048571875,1.0,1.0,0.0,0.0,0.3631666666666667,6
64,2,temper,6.5,0.68480078125,0.04806778619514475,0.1478727724609375,0.08826119791666694,0.000606328140300864,0.0016770830853713597,2.8450458725895866,16,4,1.25,none,0.0657984375,1.0,1.0,0.0,0.0,0.35683333333333334,6
64,2,temper,5.4,0.7431859375,0.04464791950705647,0.12757994984374998,0.052211458333333224,0.0005859360417669356,0.002128199601489402,4.424373788340142,16,4,1.25,none,0.083286328125,1.0,1.0,0.0,0.0,0.3225,6
64,2,temper,4.5,0.802813671875,0.04236268025413653,0.11485418741210937,0.028210416666666793,0.00076577566594864,0.002151602784993856,8.240858466204076,16,4,1.25,none,0.102719921875,1.0,1.0,0.0,0.0,0.2905,6
64,2,temper,3.8,0.85955859375,0.038949091427432046,0.09709003027343749,0.013863020833333288,0.0010853946204768274,0.002610326325309513,16.878086085828944,16,4,1.25,none,0.117183203125,1.000375,0.9998671875,0.0,0.0,0.344,6
64,2,temper,3.3,0.9027703125,0.0349392773684194,0.07812819859375,0.006733854166666649,0.0015726936239853953,0.0032617168042635863,33.87532302857992,16,4,1.25,none,0.1178921875,1.002,0.99919140625,0.0,0.0,0.35,6
64,2,temper,2.9,0.940082421875,0.03053641994344862,0.05967826834960938,0.003113151041666542,0.0023250785384862573,0.0033206688950679695,104.99463111775339,16,4,1.25,none,0.10214609375,1.012175,0.99533359375,0.0,0.0,0.42916666666666664,6
64,2,temper,2.6,0.964944140625,0.022651110512833573,0.03283665967773437,0.0016967447916666576,0.0018414946385076265,0.0018469725458825376,61.56884360176613,16,4,1.25,none,0.07139921875,1.024575,0.99184453125,0.0,0.0,0.6203333333333333,6
64,2,temper,2.35,0.974380859375,0.017915034244897484,0.020540700927734374,0.0011238281250000835,0.001100519079159354,0.0012475830258049556,14.977342977305478,16,4,1.25,none,0.052773046875,1.03435,0.9890140625,0.0,0.0,0.7186666666666667,6
64,2,temper,2.15,0.978295703125,0.0159527779435116,0.016287431943359375,0.0008359375000000547,0.0009423661528835096,0.0013475887921104213,6.1344532270779535,16,4,1.25,none,0.0425765625,1.046425,0.9859921875,0.0,0.0,0.8198333333333333,6
