source,N,n_loops,n_cubes,eigenvalue,multiplicity,loc_loops,loc_each_loop,loc_loops_collar,loc_cube,random_max_here,pr_best
n144_adj/N144_rep5,144,2,0,4,6,0.416667,0.208333|0.208333,0.583333,,0.471654,10.348
n144_adj/N144_rep5,144,2,0,4.037568595,2,0.000000,0.000000|0.000000,0.000000,,0.109251,74.667
n144_adj/N144_rep5,144,2,0,4.147918089,2,0.000000,0.000000|0.000000,0.000000,,0.123222,74.667
n144_adj/N144_rep5,144,2,0,4.196296675,2,0.000000,0.000000|0.000000,0.000000,,0.123344,74.667
n144_adj/N144_rep5,144,2,0,4.324103696,2,0.000000,0.000000|0.000000,0.000000,,0.110786,74.667
n144_adj/N144_rep5,144,2,0,4.379212125,2,0.000000,0.000000|0.000000,0.000000,,0.100252,74.667
n144_adj/N144_rep5,144,2,0,4.451090201,1,0.386409,0.193204|0.193204,0.935429,,0.114896,19.146
n144_adj/N144_rep5,144,2,0,4.464123412,1,0.119052,0.059526|0.059526,0.526420,,0.168841,15.571
n144_adj/N144_rep5,144,2,0,4.554958132,2,0.000000,0.000000|0.000000,0.000000,,0.100078,74.667
n144_adj/N144_rep5,144,2,0,4.645156248,1,0.353879,0.176939|0.176939,0.765650,,0.090758,15.271
n144_adj/N144_rep5,144,2,0,4.801937736,2,0.000000,0.000000|0.000000,0.000000,,0.115167,74.667
n144_adj/N144_rep5,144,2,0,4.82568092,2,0.000000,0.000000|0.000000,0.000000,,0.100728,74.667
n144_adj/N144_rep5,144,2,0,4.903104841,2,0.000000,0.000000|0.000000,0.000000,,0.111914,74.667
n144_adj/N144_rep5,144,2,0,5.118621097,2,0.000000,0.000000|0.000000,0.000000,,0.104334,74.667
n144_adj/N144_rep5,144,2,0,5.139809633,1,0.084150,0.042075|0.042075,0.971570,,0.255927,12.408
n144_adj/N144_rep5,144,2,0,5.214604268,1,0.501181,0.250591|0.250591,0.946368,,0.105762,14.596
n144_adj/N144_rep5,144,2,0,5.356895868,2,0.000000,0.000000|0.000000,0.000000,,0.108722,74.667
n144_adj/N144_rep5,144,2,0,5.414213562,4,0.000000,0.000000|0.000000,0.000000,,0.157650,42.449
n144_adj/N144_rep5,144,2,0,5.47412021,1,0.037611,0.018806|0.018806,0.986578,,0.138078,10.716
n144_adj/N144_rep5,144,2,0,5.684971475,1,0.375483,0.187741|0.187741,0.954755,,0.107951,21.749
n144_adj/N144_rep5,144,2,0,5.692021472,2,0.000000,0.000000|0.000000,0.000000,,0.115167,74.667
n144_adj/N144_rep5,144,2,0,5.725926872,2,0.000000,0.000000|0.000000,0.000000,,0.100293,74.667
n144_adj/N144_rep5,144,2,0,5.897100547,1,0.511111,0.255555|0.255555,0.585961,,0.127778,18.034
n144_adj/N144_rep5,144,2,0,5.931831631,2,0.000000,0.000000|0.000000,0.000000,,0.123344,74.667
n144_adj/N144_rep5,144,2,0,5.945719834,1,0.125868,0.062934|0.062934,0.682839,,0.167368,18.446
n144_adj/N144_rep5,144,2,0,6,3,0.250000,0.125000|0.125000,0.750000,,0.107143,32.000
n144_adj/N144_rep5,144,2,0,6.008704833,2,0.000000,0.000000|0.000000,0.000000,,0.104334,74.667
n144_adj/N144_rep5,144,2,0,6.114747082,2,0.000000,0.000000|0.000000,0.000000,,0.100252,74.667
n144_adj/N144_rep5,144,2,0,6.173784777,2,0.000000,0.000000|0.000000,0.000000,,0.100293,74.667
n144_adj/N144_rep5,144,2,0,6.224221089,2,0.000000,0.000000|0.000000,0.000000,,0.111914,74.667
n144_adj/N144_rep5,144,2,0,6.246979604,2,0.000000,0.000000|0.000000,0.000000,,0.108722,74.667
