N,replica,leg,g,phi,phi_sd,chi,acceptance,phi_err,chi_err,tau_int,lx,ly,lam,cap,surplus,pieces,largest_frac,baby_frac,cube_frac
64,1,heat,10,0.59231640625,0.058440073342195684,0.21857549902343748,0.19121614583333332,0.0018330102876248603,0.007490000355897028,1.8462940962281167,8,8,0.0,none,0.06462890625,1.0,1.0,0.0,0.0
64,1,heat,12,0.537546875,0.0568846381771641,0.207095171875,0.25528125,0.0011716195157703245,0.006528448143220478,1.136793204307491,8,8,0.0,none,0.0439921875,1.0,1.0,0.0,0.0
64,1,heat,15,0.4820078125,0.055521646763017976,0.19728980859375003,0.3321354166666667,0.0009438681784903555,0.004302454709684552,0.712608385003351,8,8,0.0,none,0.02910546875,1.0,1.0,0.0,0.0
64,1,heat,20,0.432796875,0.05509424409520359,0.194264046875,0.41780208333333335,0.0007902375030832794,0.005296057620861448,0.5904203772066436,8,8,0.0,none,0.01975390625,1.0,1.0,0.0,0.0
64,1,heat,30,0.38176171875,0.05503788964217877,0.1938668349609375,0.51418359375,0.0007403817595689032,0.0038161766287014465,0.5117879281374632,8,8,0.0,none,0.01212109375,1.0,1.0,0.0,0.0
64,1,heat,100,0.313671875,0.052398234237156074,0.175716796875,0.6580989583333333,0.000496330838031699,0.004330585866804267,0.557112566471367,8,8,0.0,none,0.00594921875,1.0,1.0,0.0,0.0
64,2,cool,100,0.3139140625,0.05117350844244113,0.16759858984375,0.6582799479166667,0.0008145678393059357,0.003519921028930774,0.5226049373137983,8,8,0.0,none,0.00610546875,1.0,1.0,0.0,0.0
64,2,cool,30,0.381109375,0.05351561131386686,0.18329092187499998,0.5155052083333334,0.001137948334632324,0.0035917973663427403,0.6145666862041546,8,8,0.0,none,0.01203515625,1.0,1.0,0.0,0.0
64,2,cool,20,0.43158203125,0.05530079863318227,0.19572341308593752,0.4190950520833333,0.0007277087557554353,0.004119785971113028,0.5950102308562717,8,8,0.0,none,0.01920703125,1.0,1.0,0.0,0.0
64,2,cool,15,0.48371875,0.05643142616818221,0.203808375,0.3316028645833333,0.0010248782641064224,0.0037444374447579932,0.7839905318651513,8,8,0.0,none,0.02958203125,1.0,1.0,0.0,0.0
64,2,cool,12,0.5365,0.05631529196741326,0.202970375,0.2543958333333333,0.001207067667330885,0.005373635758722048,1.0353178084551182,8,8,0.0,none,0.04298046875,1.0,1.0,0.0,0.0
64,2,cool,10,0.59266015625,0.05486886207820275,0.1926778896484375,0.19050390625,0.0015488647260807735,0.004360831753201108,1.7387927165591757,8,8,0.0,none,0.063875,1.0,1.0,0.0,0.0
