N,protocol,points,E,achieved,radius,leak,local_heat,replica,block,sweep,h,folded,flat,melted,d0,d1,d2,d3,d4,d5,d6,pieces_folded,largest_folded,pieces_damage,largest_damage,stores_total,stores_max,lost,drift,symmetries,final
64,patch,interchangeable,32.0,32.0,2,0.0,False,1,29,2900,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,256,False
64,patch,interchangeable,32.0,32.0,2,0.0,False,1,30,3000,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,256,False
64,patch,interchangeable,32.0,32.0,2,0.0,False,1,31,3100,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,256,False
64,patch,interchangeable,32.0,32.0,2,0.0,False,1,32,3200,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,256,False
64,patch,interchangeable,32.0,32.0,2,0.0,False,1,33,3300,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,256,False
64,patch,interchangeable,32.0,32.0,2,0.0,False,1,34,3400,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,256,False
64,patch,interchangeable,32.0,32.0,2,0.0,False,1,35,3500,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,256,False
64,patch,interchangeable,32.0,32.0,2,0.0,False,1,36,3600,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,256,False
64,patch,interchangeable,32.0,32.0,2,0.0,False,1,37,3700,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,256,False
64,patch,interchangeable,32.0,32.0,2,0.0,False,1,38,3800,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,256,False
64,patch,interchangeable,32.0,32.0,2,0.0,False,1,39,3900,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,256,False
64,patch,interchangeable,32.0,32.0,2,0.0,False,1,40,4000,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,256,True
64,patch,interchangeable,32.0,32.0,2,0.0,False,2,0,0,32.0,0,56,8,0,0,56,8,0,0,0,0,0,1,8,0.0,0.0,0.0,0.0,,False
64,patch,interchangeable,32.0,32.0,2,0.0,False,2,1,100,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,256,False
64,patch,interchangeable,32.0,32.0,2,0.0,False,2,2,200,0.0,0,64,0,0,0,64,0,0,0,0,0,0,0,0,32.0,32.0,0.0,0.0,256,False
