N,lx,ly,g,replica,left,wait,n_sweeps,phi_start,acceptance,lam,cap
144,36,4,2.5,4,True,17,40000,1.25,0.0023538194444444444,1.25,none
144,36,4,2.5,5,True,14,40000,1.25,0.0018581597222222222,1.25,none
144,36,4,2.5,6,True,6,40000,1.25,0.0023811631944444444,1.25,none
144,36,4,2.5,7,True,78,40000,1.25,0.0018526909722222222,1.25,none
144,36,4,2.5,8,True,54,40000,1.25,0.002644097222222222,1.25,none
144,36,4,2.5,9,True,42,40000,1.25,0.0021052083333333335,1.25,none
144,36,4,2.5,10,True,10,40000,1.25,0.00242578125,1.25,none
144,36,4,2.5,11,True,28,40000,1.25,0.003067013888888889,1.25,none
144,36,4,2.5,12,True,46,40000,1.25,0.0021897569444444443,1.25,none
144,36,4,2.5,13,True,7,40000,1.25,0.0019801215277777777,1.25,none
144,36,4,2.5,14,True,1,40000,1.25,0.0019296006944444445,1.25,none
144,36,4,2.5,15,True,21,40000,1.25,0.0031655381944444443,1.25,none
