N,lam,g,replica,class_id,S,X,A,p_interchangeable,p_named,f_interchangeable_chain,f_named_chain,f_named_reweighted
18,1.0,10.0,2,20,20,11,1,0.02854348132658114,0.06686727326431835,0.02725,0.0657,0.028218619134543113
18,1.0,10.0,2,21,20,12,2,0.019133267716851275,0.02241123684640777,0.01785,0.02395,0.020573392032642544
18,1.0,10.0,2,22,20,12,4,0.019133267716851275,0.011205618423203886,0.0208,0.0124,0.021303554171588104
18,1.0,10.0,2,23,22,16,4,0.09476769538619666,0.055501791385528104,0.09715,0.0545,0.09363255664125417
18,1.0,10.0,2,24,18,8,4,0.003862940129891823,0.0022623753416216256,0.0024,0.00205,0.003521958552560937
18,1.0,10.0,2,25,18,9,9,0.002589406205702005,0.000674006908064757,0.00175,0.00115,0.004445398904756792
18,1.0,10.0,3,0,18,0,18,0.09476769538619666,0.012333731419006245,0.10685,0.01105,0.08547118731468352
18,1.0,10.0,3,1,18,4,2,0.019133267716851275,0.02241123684640777,0.0183,0.02075,0.017833354819302996
18,1.0,10.0,3,2,18,0,12,0.09476769538619666,0.01850059712850937,0.1023,0.01855,0.09565553693438185
18,1.0,10.0,3,3,18,2,4,0.04258187039965614,0.024938562429909477,0.049,0.02235,0.03841691375531777
18,1.0,10.0,3,4,18,0,72,0.09476769538619666,0.0030834328547515613,0.11395,0.003,0.0928193889390228
18,1.0,10.0,3,5,18,4,8,0.019133267716851275,0.005602809211601943,0.02255,0.00515,0.017704439001332128
18,1.0,10.0,3,6,18,6,6,0.008597131363390263,0.003356672612260704,0.0076,0.00385,0.009926517983756607
18,1.0,10.0,3,7,19,8,1,0.019133267716851275,0.04482247369281554,0.0176,0.04485,0.01927291478664432
18,1.0,10.0,3,8,19,10,1,0.008597131363390263,0.020140035673564226,0.0077,0.02045,0.008787761591680631
18,1.0,10.0,3,9,19,9,1,0.01282541289677196,0.03004540262919935,0.01225,0.0278,0.011946199131966824
18,1.0,10.0,3,10,20,11,1,0.02854348132658114,0.06686727326431835,0.02665,0.06325,0.027179751622190707
18,1.0,10.0,3,11,20,10,1,0.04258187039965614,0.09975424971963791,0.0413,0.10105,0.0434231446865197
18,1.0,10.0,3,12,19,7,1,0.02854348132658114,0.06686727326431835,0.02605,0.06465,0.02778135877272141
18,1.0,10.0,3,13,20,10,2,0.04258187039965614,0.049877124859818954,0.0424,0.0498,0.042800051566327185
18,1.0,10.0,3,14,20,10,2,0.04258187039965614,0.049877124859818954,0.03935,0.0521,0.04477676077521378
18,1.0,10.0,3,15,21,14,1,0.04258187039965614,0.09975424971963791,0.0367,0.09985,0.04290748141463624
18,1.0,10.0,3,16,19,8,2,0.019133267716851275,0.02241123684640777,0.0186,0.02195,0.018864681363069916
18,1.0,10.0,3,17,21,13,2,0.06352468593396679,0.0744079267132153,0.06295,0.0756,0.06497357225731597
