N,replica,leg,g,phi,phi_sd,chi,acceptance,phi_err,chi_err,tau_int,lx,ly,lam,cap,surplus,pieces,largest_frac,baby_frac,cube_frac
36,2,cool,7,1.2866944444444444,0.09866375355434286,0.3504433055555557,0.019574074074074074,0.017800193392819054,0.1464539438029899,121.15293025723732,6,6,0.0,none,1.2340277777777777,1.8695,0.6135555555555556,0.3327777777777778,0.3327777777777778
36,2,cool,6.5,1.3397222222222223,0.03737221024726038,0.05028055555555561,0.00532175925925926,0.003683328947227954,0.008371186224796974,27.38496802907229,6,6,0.0,none,1.3813194444444443,2.0,0.5555555555555556,0.3994444444444445,0.3994444444444445
36,2,cool,6,1.3345416666666667,0.03895438680743431,0.05462799305555563,0.004833333333333334,0.00523148349332146,0.00971917501346907,76.33057145589898,6,6,0.0,none,1.3657847222222221,2.0,0.5555555555555556,0.42,0.42
36,2,cool,5.5,1.3573819444444444,0.014413078591707637,0.007478526041666677,0.004296296296296296,0.0009717969318809727,0.0018994650059811445,8.446450723598232,6,6,0.0,none,1.4333888888888888,2.0,0.5555555555555556,0.4325555555555555,0.4325555555555555
36,2,cool,5,1.356284722222222,0.01891258598301182,0.012876692708333347,0.0042893518518518515,0.001866417235732534,0.005537422450374907,31.750751719045454,6,6,0.0,none,1.4314652777777779,2.0,0.5555555555555556,0.43944444444444447,0.43944444444444447
36,2,cool,4.5,1.3590277777777775,0.010609329402482066,0.004052083333333337,0.0038541666666666668,0.0007324372281703764,0.0013657314946948365,9.714385553782593,6,6,0.0,none,1.4384444444444444,2.0,0.5555555555555556,0.43877777777777777,0.43877777777777777
36,2,cool,4,1.3602986111111108,0.00744809391785975,0.001997067708333338,0.0040185185185185185,0.0004563277931311846,0.0010872121477521124,8.430637910185597,6,6,0.0,none,1.4417847222222222,2.0,0.5555555555555556,0.4414444444444444,0.4414444444444444
36,2,cool,3.5,1.3607916666666666,0.004200579582291057,0.0006352152777777783,0.0038935185185185184,0.00024118390478206783,0.00047516207283673263,6.481471658744654,6,6,0.0,none,1.443361111111111,2.0,0.5555555555555556,0.44266666666666665,0.44266666666666665
36,2,cool,3,1.3609583333333335,0.00290934928662836,0.000304715277777778,0.003798611111111111,0.0001550525100222288,0.000307629366199369,5.4410338133542675,6,6,0.0,none,1.4441388888888889,2.0,0.5555555555555556,0.4444444444444444,0.4444444444444444
36,2,heat,3.5,1.3611111111111112,0.0,0.0,0.0037569444444444443,0.0,0.0,nan,6,6,0.0,none,1.4444444444444444,2.0,0.5555555555555556,0.4444444444444444,0.4444444444444444
36,2,heat,4,1.3611111111111112,0.0,0.0,0.004101851851851852,0.0,0.0,nan,6,6,0.0,none,1.4444444444444444,2.0,0.5555555555555556,0.4444444444444444,0.4444444444444444
36,2,heat,4.5,1.3548055555555554,0.014854515670410469,0.007943638888888927,0.003127314814814815,0.002220250550836037,0.0019895250149945093,144.92053088725098,6,6,0.0,none,1.42175,2.0,0.5555555555555556,0.44077777777777777,0.44077777777777777
