N,replica,leg,g,phi,phi_sd,chi,acceptance,phi_err,chi_err,tau_int,lx,ly,lam,cap,surplus,pieces,largest_frac,baby_frac,cube_frac,swap_rate,round_trips
160,1,temper,2.7,0.9243329166666668,0.010918688577070769,0.01907484163888891,0.003709166666666344,0.0005277571151449502,0.0025402177049780855,8.593271521834284,16,10,1.0,2,0.0,1.0000166666666668,0.999995625,0.0,0.0,0.5506666666666666,1
160,1,temper,2.5,0.9303525000000001,0.007399180979450796,0.00875966066666663,0.0033879513888886337,0.0005000151376918049,0.0006427787578621877,15.374180576174481,16,10,1.0,2,0.0,1.00005,0.9999868749999999,0.0,0.0,0.347,1
160,1,temper,2.25,0.943685625,0.00967053738731073,0.014963086937499946,0.0023746180555551293,0.001588940652725177,0.0007676540665493402,4885.504633240181,16,10,1.0,2,0.0,1.0004833333333334,0.9998583333333333,0.0,0.0,0.162,1
160,1,temper,2.0,0.9645925000000001,0.00535415881970891,0.004586722666666672,0.0009626388888888455,0.0007822498702632597,0.0002688071521781524,3877.8325732795524,16,10,1.0,2,0.0,1.0017,0.9993289583333332,0.0,0.0,,1
160,2,temper,6.31,0.4822339583333333,0.030404723162390367,0.14791155049305557,0.14850333333333354,0.00026680836947388,0.0013391475984629838,2.8591977361368386,16,10,1.0,2,0.0,1.0,1.0,0.0,0.0,0.2982222222222222,1
160,2,temper,5.62,0.5266415625,0.029392037375797216,0.13822269777604168,0.10663999999999965,0.0003213500806490651,0.0018263499931420847,4.21766808365682,16,10,1.0,2,0.0,1.0,1.0,0.0,0.0,0.24911111111111112,1
160,2,temper,5.01,0.5751214583333334,0.02873452188349867,0.13210763965972222,0.07217579861111095,0.0005145068456789227,0.0017955609350618783,7.488453504433024,16,10,1.0,2,0.0,1.0,1.0,0.0,0.0,0.23866666666666667,1
160,2,temper,4.5,0.6217171875,0.027866797960084635,0.12424934856770835,0.047206458333333305,0.0003408883984198608,0.002159580135066211,12.365385114209829,16,10,1.0,2,0.0,1.0,1.0,0.0,0.0,0.29833333333333334,1
160,2,temper,4.1,0.6633080208333333,0.027166828218581192,0.11808584887326389,0.03170722222222219,0.0007051522088841637,0.002731857626562596,18.969348918912885,16,10,1.0,2,0.0,1.0,1.0,0.0,0.0,0.2832222222222222,1
160,2,temper,3.75,0.7042494791666667,0.027264686881943084,0.11893810412326389,0.02068399305555572,0.0010582618283399225,0.0028209670405307833,37.499486775207984,16,10,1.0,2,0.0,1.0,1.0,0.0,0.0,0.273,1
160,2,temper,3.45,0.74477375,0.026265101975260507,0.11037689308333333,0.013188298611110977,0.0010777613014983551,0.00487588767067424,60.4333445612221,16,10,1.0,2,0.0,1.0,1.0,0.0,0.0,0.2663333333333333,1
160,2,temper,3.2,0.7875185416666667,0.02689078354269229,0.11569827832638888,0.008283576388888714,0.0015727967751920462,0.00580136625827506,139.51833921027497,16,10,1.0,2,0.0,1.0,1.0,0.0,0.0,0.3307777777777778,1
160,2,temper,3.0,0.8239006249999999,0.029727358674729944,0.14139453660416665,0.00562347222222136,0.002777619448664845,0.01371403687504508,351.59937336792086,16,10,1.0,2,0.0,1.0,1.0,0.0,0.0,0.31855555555555554,1
160,2,temper,2.85,0.8752595833333333,0.03129921644109304,0.15674255197222223,0.004430347222221681,0.004644847872803825,0.01466880086644972,1718.5088374983068,16,10,1.0,2,0.0,1.0,1.0,0.0,0.0,0.37166666666666665,1
160,2,temper,2.7,0.9090309375,0.020267099420310755,0.06572085102604168,0.0034013194444442833,0.003065218978580802,0.0090083897127785,1730.3866821123956,16,10,1.0,2,0.0,1.0002666666666666,0.9999533333333334,0.0,0.0,0.3967777777777778,1
160,2,temper,2.5,0.9270383333333333,0.020190502597481053,0.06522502322222226,0.0024891666666664583,0.0038213638269196507,0.006902798258865554,4341.516621107239,16,10,1.0,2,0.0,1.0008833333333333,0.9997674999999999,0.0,0.0,0.28344444444444444,1
160,2,temper,2.25,0.9572900000000002,0.005134560594637096,0.004218194000000008,0.0012762847222220655,0.00028875453505480635,0.00038590847753538343,5.396998935831813,16,10,1.0,2,0.0,1.0027833333333334,0.99938375,0.0,0.0,0.581,1
160,2,temper,2.0,0.9604442708333336,0.0031523624556274088,0.0015899822482638825,0.0012420138888887117,0.00021017499425908284,0.0001307224677877217,6.561662182754646,16,10,1.0,2,0.0,1.00175,0.9995497916666667,0.0,0.0,,1
160,3,temper,6.31,0.48199447916666666,0.03048846769237071,0.14872746595659722,0.14871420138888897,0.00018132686595247243,0.0015015060539728875,3.0402636055669143,16,10,1.0,2,0.0,1.0,1.0,0.0,0.0,0.29133333333333333,0
160,3,temper,5.62,0.5273117708333334,0.029580268831702932,0.13999876866493055,0.10638059027777788,0.0003843039385263151,0.0017353381473340231,4.194344504443678,16,10,1.0,2,0.0,1.0,1.0,0.0,0.0,0.2554444444444444,0
160,3,temper,5.01,0.5744716666666667,0.028776292856369727,0.13249200488888888,0.07217124999999995,0.0003559136746284098,0.001379709632934208,6.592589237543271,16,10,1.0,2,0.0,1.0,1.0,0.0,0.0,0.25322222222222224,0
160,3,temper,4.5,0.620158125,0.027818168834732964,0.12381608277083332,0.04781177083333336,0.0005416503719944933,0.001711948921950682,11.507314738972937,16,10,1.0,2,0.0,1.0,1.0,0.0,0.0,0.283,0
