N,dims,C,spark,replica,lam,local_heat,sweep,h_per_vertex,d0,d1,d2,d3,d4,d5,d6,d7,melted,pieces_flat,largest_flat,bath_T,total,drift,left,final
288,4 4 18,576,5.0,0,1.4,False,14200,2.688888888888888,0,50,136,36,44,22,0,0,66,3,17,0.2642361111111111,152.2,0.0,True,False
288,4 4 18,576,5.0,0,1.4,False,14400,2.688888888888888,0,50,136,36,44,22,0,0,66,3,17,0.2642361111111111,152.2,0.0,True,False
288,4 4 18,576,5.0,0,1.4,False,14600,2.688888888888888,0,50,136,36,44,22,0,0,66,3,17,0.2642361111111111,152.2,0.0,True,False
288,4 4 18,576,5.0,0,1.4,False,14800,2.688888888888888,0,50,136,36,44,22,0,0,66,3,17,0.2642361111111111,152.2,0.0,True,False
288,4 4 18,576,5.0,0,1.4,False,15000,2.688888888888888,0,50,136,36,44,22,0,0,66,3,17,0.2642361111111111,152.2,0.0,True,False
288,4 4 18,576,5.0,0,1.4,False,15200,2.688888888888888,0,50,136,36,44,22,0,0,66,3,17,0.2642361111111111,152.2,0.0,True,False
288,4 4 18,576,5.0,0,1.4,False,15400,2.688888888888888,0,50,136,36,44,22,0,0,66,3,17,0.2642361111111111,152.2,0.0,True,False
288,4 4 18,576,5.0,0,1.4,False,15600,2.688888888888888,0,50,136,36,44,22,0,0,66,3,17,0.2642361111111111,152.2,0.0,True,False
288,4 4 18,576,5.0,0,1.4,False,15800,2.688888888888888,0,50,136,36,44,22,0,0,66,3,17,0.2642361111111111,152.2,0.0,True,False
288,4 4 18,576,5.0,0,1.4,False,16000,2.688888888888888,0,50,136,36,44,22,0,0,66,3,17,0.2642361111111111,152.2,0.0,True,False
288,4 4 18,576,5.0,0,1.4,False,16200,2.688888888888888,0,50,136,36,44,22,0,0,66,3,17,0.2642361111111111,152.2,0.0,True,False
288,4 4 18,576,5.0,0,1.4,False,16400,2.688888888888888,0,50,136,36,44,22,0,0,66,3,17,0.2642361111111111,152.2,0.0,True,False
288,4 4 18,576,5.0,0,1.4,False,16600,2.7222222222222223,0,50,136,36,36,30,0,0,66,3,17,0.2475694444444444,142.59999999999997,0.0,True,False
288,4 4 18,576,5.0,0,1.4,False,16800,2.7222222222222223,0,50,136,36,36,30,0,0,66,3,17,0.2475694444444444,142.59999999999997,0.0,True,False
