N,replica,leg,g,phi,phi_sd,chi,acceptance,phi_err,chi_err,tau_int,lx,ly,lam,cap,surplus
160,2,heat,7.94,0.4191890625,0.03398460987706191,0.18479259335937498,0.24781458333333334,0.0009511626352939336,0.004834224787808655,1.7198197486756204,16,10,1.0,none,0.011898437500000001
160,2,heat,10,0.3461546875,0.033569958108438915,0.180310733984375,0.361996875,0.0006672720549172102,0.004403940848982731,0.8630869046395372,16,10,1.0,none,0.0065421875
160,2,heat,15.85,0.24810625000000003,0.03187695520964165,0.16258244375000003,0.5600364583333334,0.0006169423343680884,0.0036128965527088296,0.6626129645879064,16,10,1.0,none,0.002309375
160,2,heat,25.1,0.19415937500000002,0.02835510711687358,0.12864193593749998,0.6937786458333334,0.00046050571440324934,0.0027050992195886336,0.5377074170063535,16,10,1.0,none,0.00115625
160,2,heat,31.6,0.1774921875,0.02806851859004753,0.126054677734375,0.739834375,0.00044858435420977124,0.002205664569221179,0.5138756689468774,16,10,1.0,none,0.0008203125000000001
160,2,heat,39.8,0.16405,0.02766145501867174,0.12242497499999999,0.7762083333333333,0.00038234282763221285,0.0034496540243454657,0.5538088336068036,16,10,1.0,none,0.0006374999999999999
160,2,heat,63.1,0.1468171875,0.02645191276571212,0.11195259023437501,0.825859375,0.0004000738652502191,0.0024062851217662388,0.5107368059480036,16,10,1.0,none,0.000465625
160,2,heat,79.4,0.1412921875,0.026241891930458134,0.11018190273437499,0.8427119791666666,0.00040679379243118737,0.0023060360776660403,0.5077129736118109,16,10,1.0,none,0.00039843750000000003
160,2,heat,100,0.13662968749999999,0.025929486290270844,0.107574121484375,0.8565822916666667,0.0003798502483504186,0.002750510519440714,0.48244565766055975,16,10,1.0,none,0.000346875
160,2,heat,177.8,0.12910937500000003,0.025363523998241547,0.10292933593749999,0.878290625,0.00045988048654438206,0.0021408330541078805,0.5115942025814927,16,10,1.0,none,0.0003453125
160,3,cool,177.8,0.13005,0.02531723412519622,0.10255397499999999,0.8783453125,0.0002707141401258208,0.0025451702943183685,0.4908599803922775,16,10,1.0,none,0.00032031249999999996
160,3,cool,100,0.136659375,0.025730278969715328,0.1059275609375,0.8562630208333334,0.00044870108760245304,0.002033723260440351,0.482692297392374,16,10,1.0,none,0.000428125
160,3,cool,79.4,0.14171718750000004,0.026389852480922356,0.11142789023437501,0.8430765625,0.00042482443960113986,0.0025792069518689458,0.48671361439824873,16,10,1.0,none,0.00043437500000000003
160,3,cool,63.1,0.14708437500000002,0.0264275082699708,0.11174611093750002,0.8259442708333333,0.0005165769280728544,0.002513781331174632,0.5160795686110349,16,10,1.0,none,0.0004875
160,3,cool,39.8,0.16435781250000003,0.02689381059537387,0.11572432773437501,0.7759375,0.0004301538023790698,0.002957570507201029,0.5181240585410429,16,10,1.0,none,0.0006734375
160,3,cool,31.6,0.17710000000000004,0.027938341709915424,0.12488814999999999,0.7396875,0.00036034991863107376,0.003061737351640689,0.5142863911470199,16,10,1.0,none,0.0008296875
160,3,cool,25.1,0.1942171875,0.02970372085639851,0.14116976523437502,0.6942671875,0.0005971080740205644,0.003329281938153614,0.5578363438627713,16,10,1.0,none,0.00110625
160,3,cool,15.85,0.248275,0.030950012621160594,0.153264525,0.5607161458333333,0.000467631678177972,0.003166247535696557,0.6278869779630514,16,10,1.0,none,0.002309375
160,3,cool,10,0.34556562499999993,0.03347317591534115,0.17927256093749996,0.3623411458333333,0.0007879275830511412,0.004330001282856204,0.9967784056578415,16,10,1.0,none,0.006551562499999999
160,3,cool,7.94,0.4190703125,0.03409695702005303,0.18601639648437499,0.24890625,0.0009223644241923174,0.0052353264626142666,1.643307876950551,16,10,1.0,none,0.011934375
160,3,cool,6.31,0.5126734374999999,0.033488267498612015,0.17943424960937499,0.14279270833333332,0.0013547473822693376,0.007374045455617026,3.5145037923922264,16,10,1.0,none,0.02288125
160,3,cool,6.03,0.5309390625,0.03232390691881311,0.167173593359375,0.12670104166666665,0.0011354182127875556,0.006124944876955338,3.1829629646538025,16,10,1.0,none,0.0261453125
160,3,cool,5.89,0.541409375,0.03282603872475896,0.17240781093750002,0.11806770833333333,0.0016833773737290152,0.008810033451125694,4.583067971282556,16,10,1.0,none,0.027423437499999998
160,3,cool,5.75,0.55398125,0.03387807354598989,0.18363581875,0.10901822916666666,0.0016162904870309657,0.00969512973482338,5.116166205289527,16,10,1.0,none,0.030484375
160,3,cool,5.62,0.56245625,0.03268125597628555,0.17089031875,0.10244322916666666,0.0016277073947727997,0.0058240333722564055,4.329793685328532,16,10,1.0,none,0.0316078125
160,3,cool,5.01,0.6174671875,0.033125072191843505,0.17556326523437502,0.06839322916666667,0.0016257094614105915,0.012123706514175448,7.4259423458380915,16,10,1.0,none,0.0441375
160,3,cool,3.98,0.7295109375,0.03080928414854999,0.15187391835937503,0.025929166666666666,0.003365372220978299,0.01749071773496755,27.084796160090164,16,10,1.0,none,0.0803546875
160,3,cool,2.0,0.9856687500000001,0.012468947366859011,0.024875943750000042,0.0010526041666666667,0.0024605960330559497,0.007527109506437398,167.16207177179814,16,10,1.0,none,0.1966875
160,3,cool,0.562,0.9948250000000003,0.003089902911096077,0.0015276000000000016,0.00032239583333333333,0.0005694192801370324,0.0005681526999952417,136.36290829209753,16,10,1.0,none,0.17408125000000002
160,3,cool,0.316,0.9940156250000002,0.0013720671847161847,0.0003012109374999995,0.00028333333333333335,0.00014219327254765077,0.00016357171956330529,20.738577321061115,16,10,1.0,none,0.1698125
160,3,cool,0.178,1.0015796874999998,0.00533585834494731,0.004555421484375015,0.0002578125,0.0010617573135196267,0.0008363867033942077,128.37074920149357,16,10,1.0,none,0.1974984375
160,3,cool,0.1,1.0016984375,0.0030929729927036075,0.0015306371093750256,0.00020260416666666666,0.0005278312023403335,0.00039722608071982474,72.37198578538776,16,10,1.0,none,0.1938203125
160,3,heat,0.1,1.0,0.0,0.0,0.0,0.0,0.0,nan,16,10,1.0,none,0.0
160,3,heat,0.178,1.0,0.0,0.0,0.0,0.0,0.0,nan,16,10,1.0,none,0.0
160,3,heat,0.316,1.0,0.0,0.0,0.0,0.0,0.0,nan,16,10,1.0,none,0.0
160,3,heat,0.562,1.0,0.0,0.0,0.0,0.0,0.0,nan,16,10,1.0,none,0.0
160,3,heat,2.0,1.0,0.0,0.0,0.0,0.0,0.0,nan,16,10,1.0,none,0.0
