N,lx,ly,replica,k,g,lam,cap,phi,surplus,e_mean,e_var,c_per_point,m2,m4,binder,levels_seen,sweeps,tau_int,acceptance,swap_rate,round_trips,pieces,largest_frac,baby_frac,cube_frac
36,6,6,1,13,2.35,1.5,none,0.9967069444444445,0.0038379629629629627,0.07571666666666667,64.89534769333333,0.3264189311067518,72.32533333333333,70793.05493333333,-3.511162914363995,23,60000,9.996169081798906,0.0009282986111111212,0.919,28,1.0,1.0,0.0,0.0
36,6,6,1,14,2.2,1.5,none,0.9982115740740741,0.0020203703703703703,0.04073703703703704,33.24207998222222,0.19078328731762062,35.3928,28990.9536,-6.7145642825861644,19,60000,7.774941933844463,0.0008677083333333426,0.927875,28,1.0,1.0,0.0,0.0
36,6,6,1,15,2.0,1.5,none,0.9993643518518519,0.0007930555555555555,0.014928703703703703,10.625365412222223,0.07378725980709877,10.9142,6160.6744,-16.239441256938814,10,60000,6.271967343210498,0.0008373263888888972,0.959375,28,1.0,1.0,0.0,0.0
36,6,6,1,16,1.8,1.5,none,0.9997962962962963,0.00019537037037037038,0.0044314814814814816,2.8829491155555558,0.024716641937204693,2.9084,1281.0096,-49.48040815896499,7,60000,5.313723931747978,0.0008046875000000071,0.962625,28,1.0,1.0,0.0,0.0
36,6,6,1,17,1.5,1.5,none,0.9999814814814815,3.333333333333333e-05,0.0004962962962962963,0.25674744888888895,0.0031697215912208513,0.25706666666666667,56.132266666666666,-282.1390644100481,3,60000,4.986592193445409,0.0007862847222222284,,28,1.0,1.0,0.0,0.0
36,6,6,2,0,8.0,1.5,none,0.7626694444444444,0.10041944444444445,4.399805555555556,780.5819509999999,0.33879424956597215,25868.9244,751459952.7184,0.6256930915012161,108,60000,1.5469612828147619,0.09766215277777868,0.591875,26,1.0,1.0,0.0,0.0
36,6,6,2,1,6.5,1.5,none,0.8030574074074074,0.11200648148148147,3.8231203703703702,679.3945545555557,0.44667623573672305,19622.053733333334,439173245.0309333,0.6197881061040975,95,60000,2.050728927851642,0.06540815972222232,0.599625,26,1.0,1.0,0.0,0.0
36,6,6,2,2,5.5,1.5,none,0.8394560185185185,0.11938611111111112,3.28502037037037,640.2329514622221,0.5879090463381287,14625.834,251192477.5728,0.6085790246002581,97,60000,2.9099549924891708,0.04288072916666697,0.64225,26,1.0,1.0,0.0,0.0
36,6,6,2,3,4.8,1.5,none,0.8681083333333333,0.11989398148148148,2.829630555555555,635.8973644433333,0.7666586666224602,11012.721933333334,148414808.11653334,0.5920878578331586,92,60000,3.7971595890826038,0.02853402777777837,0.662125,26,1.0,1.0,0.0,0.0
36,6,6,2,4,4.3,1.5,none,0.8938412037037037,0.11361805555555556,2.380249074074074,698.7883915988889,1.0497992782868952,8041.3874,85250013.4248,0.5605482167271469,88,60000,5.303096168425067,0.018655902777778066,0.633875,26,1.0,1.0,0.0,0.0
36,6,6,2,5,3.9,1.5,none,0.9204787037037038,0.0975462962962963,1.8576185185185186,808.0271244622222,1.4756869100413148,5280.194666666666,42183640.538666666,0.49566055680131227,79,60000,7.517372149215665,0.011178645833333483,0.66725,26,1.0,1.0,0.0,0.0
36,6,6,2,6,3.6,1.5,none,0.9444027777777778,0.07534305555555555,1.3416138888888889,887.5578697233334,1.902344542445416,3220.2643333333335,19964308.62533333,0.35827349623534444,71,60000,11.517496735449585,0.0065607638888893665,0.66825,26,1.0,1.0,0.0,0.0
36,6,6,2,7,3.35,1.5,none,0.9667472222222222,0.04860925925925926,0.8237,746.5749297600001,1.847912006534492,1625.8872,7369858.6336,0.07069755743646344,61,60000,9.774204089576351,0.0035090277777778027,0.7365,26,1.0,1.0,0.0,0.0
36,6,6,2,8,3.15,1.5,none,0.9819050925925925,0.02767824074074074,0.4555879629629629,477.9549986388888,1.3380224479686706,746.9532666666667,2454896.555466667,-0.46664524981451283,56,60000,6.980899255391188,0.0020729166666666426,0.795625,26,1.0,1.0,0.0,0.0
36,6,6,2,9,2.95,1.5,none,0.9908967592592592,0.013882407407407408,0.2289462962962963,250.56287039555556,0.7997793430864552,318.4945333333333,785266.6245333333,-1.5804290340169636,46,60000,4.543538506168752,0.0013385416666666932,0.88325,26,1.0,1.0,0.0,0.0
36,6,6,2,10,2.8,1.5,none,0.994874537037037,0.008380092592592593,0.13228796296296297,136.97566373222224,0.4853162688925109,159.6558,290258.716,-2.79572390052366,39,60000,4.3070961013835065,0.0010631944444444764,0.906875,26,1.0,1.0,0.0,0.0
36,6,6,2,11,2.65,1.5,none,0.9972759259259258,0.004649074074074074,0.07147962962962963,69.65056532888889,0.2755055786119571,76.27226666666667,111442.26666666666,-5.385506864339785,34,60000,4.0558863792355755,0.0009039930555555764,0.934875,26,1.0,1.0,0.0,0.0
36,6,6,2,12,2.5,1.5,none,0.9985171296296296,0.0027194444444444445,0.040042592592592595,35.27464831555555,0.15677621473580244,37.352666666666664,37754.850666666665,-8.020036140550097,23,60000,4.14214617422615,0.0008079861111111254,0.949375,26,1.0,1.0,0.0,0.0
36,6,6,2,13,2.35,1.5,none,0.9992657407407406,0.0014050925925925925,0.020178703703703706,16.192361278888892,0.08144641254911167,16.720066666666668,14059.072266666666,-15.763295437284025,17,60000,4.527835807970225,0.0007866319444444558,0.966625,26,1.0,1.0,0.0,0.0
36,6,6,2,14,2.2,1.5,none,0.9996328703703704,0.0008393518518518519,0.010910185185185184,8.588867678888889,0.04929331771630445,8.743133333333333,8090.137333333333,-34.27771410772862,13,60000,4.669200041848754,0.0007347222222222297,0.96475,26,1.0,1.0,0.0,0.0
36,6,6,2,15,2.0,1.5,none,0.9998578703703704,0.0004004629629629629,0.004676851851851852,3.056519332222222,0.02122582869598765,3.0848666666666666,1585.4786666666666,-54.534945811447685,10,60000,4.976543820656298,0.0006998263888888965,0.976125,26,1.0,1.0,0.0,0.0
36,6,6,2,16,1.8,1.5,none,0.9999629629629629,0.0001361111111111111,0.0014092592592592592,0.7815594622222223,0.0067006126733729614,0.7841333333333333,264.54453333333333,-142.4160327883745,4,60000,4.972943266101401,0.0006857638888888949,0.977375,26,1.0,1.0,0.0,0.0
36,6,6,2,17,1.5,1.5,none,0.9999953703703705,4.62962962962963e-05,0.00035185185185185184,0.16250622222222222,0.0020062496570644717,0.16266666666666665,28.202666666666666,-354.2808384842785,3,60000,4.996856026189347,0.000687673611111116,,26,1.0,1.0,0.0,0.0
36,6,6,3,0,8.0,1.5,none,0.7622282407407408,0.1002013888888889,4.405556481481481,793.0106933322222,0.3441886689809992,25946.981266666666,757009313.4610667,0.6251942098892691,108,60000,1.5966216095998602,0.09794913194444525,0.576375,34,1.0,1.0,0.0,0.0
36,6,6,3,1,6.5,1.5,none,0.8041925925925926,0.11208935185185186,3.8054546296296294,681.5543867988889,0.44809624378625174,19449.558866666666,431433895.4514667,0.6198338047073404,102,60000,2.1195390904899822,0.06498020833333361,0.607875,34,1.0,1.0,0.0,0.0
36,6,6,3,2,5.5,1.5,none,0.8391078703703704,0.11948425925925926,3.29117962962963,648.9898925822222,0.5959503145842261,14687.0848,253548736.1952,0.6081958870756314,97,60000,2.8952095407496374,0.043189756944444796,0.6375,34,1.0,1.0,0.0,0.0
36,6,6,3,3,4.8,1.5,none,0.868175462962963,0.11964398148148149,2.8270564814814816,641.0928723988889,0.7729225409901728,10999.046733333333,148066476.35333332,0.5920326645982381,95,60000,3.5027315503397913,0.028506423611111904,0.658125,34,1.0,1.0,0.0,0.0
36,6,6,3,4,4.3,1.5,none,0.8942972222222222,0.11500740740740739,2.381288888888889,677.1666097066666,1.0173165820964283,8026.182266666667,84615819.44266666,0.5621631868377139,87,60000,4.953488769607073,0.018557638888889044,0.656875,34,1.0,1.0,0.0,0.0
36,6,6,3,5,3.9,1.5,none,0.9180935185185185,0.10079722222222222,1.915287037037037,708.5240665555557,1.2939660796178607,5462.672533333333,44053991.982933335,0.5078996433866427,77,60000,6.0733189337241305,0.011423437500000086,0.684,34,1.0,1.0,0.0,0.0
36,6,6,3,6,3.6,1.5,none,0.938561574074074,0.08230138888888888,1.4768231481481482,722.2030989322221,1.5479318821421082,3548.7876666666666,21833595.531466667,0.422111601609371,73,60000,7.3739897586855765,0.0068421875000004954,0.701125,34,1.0,1.0,0.0,0.0
36,6,6,3,7,3.35,1.5,none,0.9566962962962963,0.06195324074074074,1.0645787037037036,679.1922833055554,1.6811274060185526,2147.985133333333,10179784.679733334,0.2645472183516475,65,60000,8.7738769689051,0.004005034722222261,0.7435,34,1.0,1.0,0.0,0.0
36,6,6,3,8,3.15,1.5,none,0.971037962962963,0.04160833333333333,0.7130425925925926,546.7017251155556,1.5304771006286377,1205.6266666666668,4301617.802666667,0.013527744133436825,63,60000,10.5654247871815,0.0023939236111111166,0.760125,34,1.0,1.0,0.0,0.0
36,6,6,3,9,2.95,1.5,none,0.9822680555555555,0.02473287037037037,0.4321083333333333,361.13897519,1.1527306176066903,603.125,1523721.3288,-0.39627071929555147,54,60000,8.946449026105032,0.0012946180555555872,0.849,34,1.0,1.0,0.0,0.0
36,6,6,3,10,2.8,1.5,none,0.9878967592592593,0.01584212962962963,0.2887046296296296,247.8027959988889,0.877986096934839,355.82486666666665,700155.8594666667,-0.843320624712401,46,60000,6.959691120163261,0.0008598958333333747,0.85725,34,1.0,1.0,0.0,0.0
36,6,6,3,11,2.65,1.5,none,0.9927833333333334,0.0092,0.17066666666666666,144.764864,0.5726231715517582,182.5136,257438.2976,-1.576092405103957,35,60000,5.102952409855271,0.0005373263888889031,0.894875,34,1.0,1.0,0.0,0.0
36,6,6,3,12,2.5,1.5,none,0.9957393518518519,0.005040740740740741,0.09841481481481482,81.87482339555554,0.36388810398024685,94.4272,105915.5008,-2.9595337157122574,32,60000,4.922868501517423,0.00038020833333333494,0.921125,34,1.0,1.0,0.0,0.0
36,6,6,3,13,2.35,1.5,none,0.9976425925925925,0.0028944444444444443,0.05508518518518519,45.044513262222225,0.22657066174851476,48.977066666666666,49287.97866666667,-5.849111107424482,24,60000,5.294341623303175,0.00027760416666666623,0.946,34,1.0,1.0,0.0,0.0
36,6,6,3,14,2.2,1.5,none,0.9986305555555555,0.0014726851851851852,0.03074722222222222,23.47657239,0.13473698570936637,24.7018,19202.052,-9.489847741729417,21,60000,5.126450062356877,0.00023281249999999927,0.949625,34,1.0,1.0,0.0,0.0
36,6,6,3,15,2.0,1.5,none,0.999375925925926,0.0005981481481481482,0.013574074074074075,9.52480488888889,0.06614447839506173,9.7636,6104.1648,-20.344453418365234,10,60000,5.4358500292273,0.00019131944444444388,0.970375,34,1.0,1.0,0.0,0.0
36,6,6,3,16,1.8,1.5,none,0.9997685185185186,0.00022685185185185183,0.0050648148148148145,3.3940878888888886,0.029098833066605694,3.4273333333333333,1561.3253333333334,-43.30568567448337,7,60000,5.716367850174516,0.00016597222222222181,0.958625,34,1.0,1.0,0.0,0.0
36,6,6,3,17,1.5,1.5,none,0.9999583333333333,4.9074074074074075e-05,0.000961111111111111,0.59400284,0.007333368395061729,0.5952,189.6288,-177.42561278760556,5,60000,4.969462962757444,0.0001538194444444441,,34,1.0,1.0,0.0,0.0
64,8,8,0,0,8.0,1.5,none,0.616128125,0.0420734375,6.394390625,2133.302852333333,0.5208258916829426,169611.49893333332,30222029685.374935,0.6498196369384014,160,60000,1.6628377367317468,0.14449873046875059,0.36525,17,1.0,1.0,0.0,0.0
64,8,8,0,1,6.5,1.5,none,0.6774770833333333,0.05511223958333333,5.491040104166666,1841.8699075455559,0.6811649066366701,125342.50166666666,16643167401.446667,0.6468835010165691,167,60000,2.56939302256559,0.09038417968749991,0.420375,17,1.0,1.0,0.0,0.0
