N,replica,leg,g,phi,phi_sd,chi,acceptance,phi_err,chi_err,tau_int,lx,ly,lam,cap,surplus,pieces,largest_frac,baby_frac,cube_frac,swap_rate,round_trips
160,1,temper,3.0,0.8669336458333334,0.02706983057451412,0.1172441163732639,0.00628302083333254,0.0012014137433249198,0.003375511224237954,41.6473259755638,16,10,1.0,none,0.14432229166666666,1.0003833333333334,0.9999575,0.0,0.0,0.5038888888888889,4
160,1,temper,2.85,0.8912902083333333,0.027090131158903557,0.11742003299305556,0.0048902777777769385,0.001364601738894579,0.003815789088682804,66.36016445901566,16,10,1.0,none,0.15786968750000002,1.0031666666666668,0.9996416666666667,0.0,0.0,0.4507777777777778,4
160,1,temper,2.7,0.9186476041666667,0.02664146223248609,0.11356280158159723,0.003692708333332813,0.001534182991495764,0.006206245787092687,109.8808402200738,16,10,1.0,none,0.17146947916666666,1.0102666666666666,0.998814375,2.9166666666666666e-06,0.0,0.25333333333333335,4
160,1,temper,2.5,0.9507230208333334,0.022423046092868368,0.0804468793732639,0.0025624305555550695,0.0016912091942190171,0.006933578517982276,191.78001189005698,16,10,1.0,none,0.17252322916666668,1.0501333333333334,0.9940139583333334,6.666666666666667e-06,6.666666666666667e-06,0.16522222222222221,4
160,1,temper,2.25,0.9778060416666667,0.022851190590753266,0.0835483058263889,0.0017950347222219795,0.002171469200246003,0.007617372390233282,355.1083619142975,16,10,1.0,none,0.16458708333333333,1.1511666666666667,0.9809677083333334,6.604166666666667e-05,5e-05,0.26255555555555554,4
160,1,temper,2.0,1.0145046875,0.025761048477349353,0.10618105898437495,0.0011417013888887734,0.0034434850519388547,0.013671584915589093,961.2167517564508,16,10,1.0,none,0.23598270833333332,1.671,0.9103768750000001,0.00027333333333333333,0.00026166666666666667,,4
160,2,temper,6.31,0.5113722916666666,0.0338547432200905,0.1833829821597222,0.144504479166666,0.0003335343323451235,0.0018217071330030006,3.303839000965759,16,10,1.0,none,0.022917291666666666,1.0,1.0,0.0,0.0,0.2668888888888889,4
160,2,temper,5.62,0.5632717708333332,0.03304648824619367,0.17473126166493058,0.10181677083333347,0.0003257679005066062,0.001552574135720617,4.518687953353395,16,10,1.0,none,0.03210416666666667,1.0,1.0,0.0,0.0,0.23522222222222222,4
160,2,temper,5.01,0.6180180208333333,0.032551561874323315,0.16953666887326388,0.068186736111111,0.0004619149265174103,0.0018206507597047362,7.699551026946945,16,10,1.0,none,0.04453302083333333,1.0,1.0,0.0,0.0,0.24122222222222223,4
160,2,temper,4.5,0.6698803125000001,0.03113291186098741,0.15508131215104168,0.04461600694444453,0.0006414558003512765,0.0027286010146020247,10.265853108065011,16,10,1.0,none,0.05950239583333333,1.0,1.0,0.0,0.0,0.27155555555555555,4
160,2,temper,4.1,0.7164857291666668,0.030325942543224977,0.14714604658159722,0.02948614583333326,0.000610708759799313,0.002613889292755099,15.120395586133162,16,10,1.0,none,0.0759175,1.0,1.0,0.0,0.0,0.2801111111111111,4
160,2,temper,3.75,0.761155,0.02924349261659193,0.13682909766666668,0.019305659722222215,0.0008691864818444787,0.003522649785943403,22.434914666878413,16,10,1.0,none,0.094229375,1.0,1.0,0.0,0.0,0.31377777777777777,4
160,2,temper,3.45,0.8003867708333334,0.028395518774051,0.12900887783159723,0.012975069444444293,0.0010138065192898955,0.0035688777432860423,33.62946372091478,16,10,1.0,none,0.11251395833333333,1.0,1.0,0.0,0.0,0.34655555555555556,4
160,2,temper,3.2,0.8358184375,0.027439561020849573,0.12046872144270834,0.00886861111111104,0.0010441874219929445,0.0052478646672557624,36.54077723795702,16,10,1.0,none,0.12841239583333333,1.0,1.0,0.0,0.0,0.39755555555555555,4
160,2,temper,3.0,0.8670473958333333,0.02677097539176803,0.11466961974826391,0.006311388888888051,0.0010249849291661937,0.0041120024832663775,44.295797238539336,16,10,1.0,none,0.14493458333333334,1.0007666666666666,0.9999116666666668,0.0,0.0,0.4991111111111111,4
160,2,temper,2.85,0.88991875,0.026765205228757354,0.11462019375,0.004856840277776929,0.0012723744075340971,0.005543352273829966,72.78963071633004,16,10,1.0,none,0.1562309375,1.0024166666666667,0.99972875,5e-06,5e-06,0.4242222222222222,4
